rid,DOS029_VCAP_24H:BRD-K64968742-001-01-7:5,DOS033_A375_24H:BRD-K64968742-001-01-7:5,DOS033_A549_24H:BRD-K64968742-001-01-7:5,DOS033_HT29_24H:BRD-K64968742-001-01-7:5,DOS033_MCF7_24H:BRD-K64968742-001-01-7:5,DOS033_PC3_24H:BRD-K64968742-001-01-7:5
595,0.0525939464569,0.103833317757,1.23849916458,1.28355872631,-0.487166672945,-0.879452645779
4793,-0.325627624989,-0.139233350754,1.17583727837,0.27854424715,0.0692000091076,0.621853768826
2736,-0.201162129641,0.61063337326,-0.188476532698,-0.784763813019,-0.25366666913,0.572321414948
5290,1.14059877396,0.981533288956,-0.180047884583,-1.6739127636,0.265966683626,0.766229987144
6194,-0.364312291145,-0.000466666650027,0.146857008338,0.161301910877,-0.744800031185,-0.197125867009
1676,0.867394089699,0.685299992561,-0.634353637695,-0.251030266285,0.0344000160694,1.55991947651
23512,-3.86174416542,-2.06816673279,0.690901219845,0.805834531784,-0.787333369255,-0.307537913322
148022,1.17099142075,0.504833340645,-0.0635287463665,-0.795087516308,-0.410699993372,-0.729907631874
1906,0.968244552612,0.403900027275,0.279537796974,-3.63457608223,0.240900024772,1.70032310486
8878,0.911426663399,-0.418500006199,0.101387493312,0.505809783936,-0.749800026417,-0.92851537466
3091,0.0126550197601,-0.264633327723,0.137763470411,0.555063962936,0.665833353996,-1.27529168129
5743,-0.00865602400154,0.383533358574,0.60958313942,0.667255401611,0.472433388233,-0.217807173729
5321,0.796624422073,0.0965333431959,0.211615875363,-0.951668679714,0.251333355904,-0.0128978192806
4144,-0.508955538273,1.00116670132,0.610632836819,-0.953047633171,0.798300027847,2.11688423157
1981,0.551355600357,0.00113332271576,0.139946907759,0.696163475513,-0.301566660404,0.888436317444
695,0.74747812748,0.25756663084,-0.536127507687,6.7737197876,-0.156266659498,0.896934807301
10398,0.466568112373,0.60020005703,0.296200245619,-0.481391608715,0.382599979639,1.25566875935
5708,-0.924840867519,3.55396676064,0.221625119448,-0.613720715046,0.597266674042,5.06764316559
1213,-0.104575350881,-0.364566653967,-1.19640862942,-0.208548754454,0.0800999999046,-1.20696210861
226,0.454774558544,6.73883342743,1.15415394306,-0.335049211979,-0.681633353233,-0.491611748934
6777,-1.55554568768,-0.129266664386,1.76470160484,1.51292145252,-0.120966672897,1.65884160995
2113,2.7792327404,1.05083334446,-0.0685229972005,-1.17394864559,-0.647800028324,1.70632863045
3329,-0.704434752464,0.121766656637,-0.0776631087065,0.0824984535575,0.0234333351254,0.196189671755
1050,0.539423823357,-0.00303333997726,0.928648233414,0.507008850574,0.697333335876,-0.569586217403
9491,-0.100357078016,0.825433373451,0.965333223343,-0.429433494806,0.103800006211,1.19391584396
22926,-0.158822000027,0.584333360195,-1.92855381966,-0.993561387062,0.119400002062,-0.485061496496
5899,0.664910376072,-0.0163666903973,-0.244293481112,0.418016195297,0.162999987602,-0.256323099136
5467,0.881271660328,0.5679666996,-0.0827743113041,-0.0417940989137,-0.75856667757,-0.572438120842
6774,0.775788486004,0.44796666503,-0.238372117281,0.214857071638,0.104633338749,0.388591587543
1788,1.16669809818,0.602866649628,-0.266927242279,-0.28064763546,0.449900001287,0.948326826096
5921,0.130520373583,-0.0913000032306,-0.2411249578,-1.03892660141,0.593566656113,-0.59482228756
5721,-1.85515201092,1.09213328362,0.6522179842,-1.16160809994,0.341066658497,0.385534703732
2263,-0.744646728039,-0.639299988747,-0.117621093988,-0.999434709549,0.461033374071,0.538564860821
808,0.201485678554,0.0803000181913,0.0147829502821,-0.674833238125,-0.248599946499,1.35140299797
30001,-0.185924679041,0.310033351183,-1.08469152451,-0.136536464095,0.317933350801,-0.0712842941284
348,1.53307938576,0.487000048161,-0.292538821697,0.0505945384502,0.0990333855152,1.2222110033
30849,-0.377076506615,-0.412299990654,-0.218930929899,0.319317996502,0.543466687202,0.624373912811
1454,1.40256655216,-0.314933359623,0.557052135468,-2.5565237999,0.66023337841,0.199545770884
6500,0.412428677082,-0.207400009036,1.63453447819,0.746948301792,0.0617999956012,-0.901443064213
5627,0.745446920395,-0.331633329391,0.992488443851,1.66807389259,0.177833333611,-0.732031822205
5715,0.0670974850655,-0.245766669512,0.352194547653,-0.0428663566709,-0.0569333024323,0.072017788887
4791,0.520232796669,0.230000019073,-1.44916009903,-0.818760037422,0.130666643381,1.57606363297
56924,-0.346391618252,0.261466652155,-0.542255938053,0.838021755219,-0.391366660595,-0.816602289677
2690,-0.572542667389,3.17086672783,-0.529845833778,0.878247618675,-0.00986665487289,1.44757270813
1019,2.6303358078,-0.563433349133,-0.548287332058,0.494781255722,-0.308966636658,-0.339820086956
51422,-0.858170449734,0.17883336544,-0.705777645111,-0.180686414242,-0.563999950886,0.331824809313
5788,1.0304697752,1.49990010262,0.415392279625,-0.222522586584,-0.746133327484,3.68358373642
