rid,DOS007_VCAP_24H:BRD-K46033477-001-01-4:5.1
54623,-0.465736836195
9533,-0.150693282485
8607,0.732361495495
207,0.952386200428
26054,0.384607851505
10682,-0.896382331848
8573,-0.134975418448
23378,0.405818402767
8553,-0.176063239574
622,-0.0739729404449
9467,0.599441945553
5525,0.440812796354
256364,0.300332188606
332,-0.4101806283
2058,0.417192339897
7849,0.061993919313
23244,0.0870245099068
7494,0.0167936235666
4836,0.14521715045
23647,0.433211117983
10617,-0.297399938107
2184,0.829177081585
5355,0.398465663195
6659,-0.576213121414
7016,0.0698243975639
90861,-0.524602949619
10670,-0.0505913347006
79071,-0.058529753238
64746,-0.410571575165
5366,0.622927129269
11344,0.118932843208
10013,0.12346726656
5829,0.0241554230452
5257,-0.25575274229
22794,-0.066005885601
9761,0.396105408669
23326,-0.0580151639879
10972,-0.661382913589
10523,0.235269337893
79090,-0.0584471933544
27032,-0.015124220401
9097,0.778059601784
10513,-0.518292188644
1891,0.3992587924
3066,-0.401806950569
9801,-0.479897618294
1459,0.597993671894
9703,-0.682640135288
10606,-0.00385567545891
1017,-0.700886487961
9813,-0.0956169366837
7485,0.255069822073
2109,-0.682882070541
23271,0.57088047266
9915,-0.586536824703
9552,0.826165378094
93487,-0.399708926678
2956,0.221041589975
11065,0.117188006639
9653,0.837019443512
200081,-0.709823191166
3337,0.114306375384
11073,0.162968277931
23,0.497054576874
5641,0.131307631731
8720,0.902395665646
10782,0.54490673542
25932,-0.722863674164
3028,0.883240044117
6804,1.46271169186
890,-0.0392491519451
6390,-1.27988946438
4303,-0.142273455858
10953,0.234249591827
22889,-0.0763923227787
3098,-0.443454533815
11044,0.79823076725
8985,0.790836572647
66008,0.956716358662
9217,0.647413492203
701,0.468437284231
6182,-0.245030745864
4860,-1.15394425392
7398,-0.31957167387
6117,-0.473059922457
23588,0.692008256912
949,-0.317268967628
7168,-0.0730645880103
9375,-3.22484540939
4927,0.677132725716
2523,0.461652755737
58497,-0.454336673021
6856,0.138325721025
26036,0.456765204668
10206,-0.0385012477636
25793,0.397641479969
