rid,DOS007_VCAP_24H:BRD-K70681322-001-01-6:5
27032,-1.96445333958
9097,-0.228778660297
10513,0.419454902411
1891,-0.245833739638
3066,-0.582447826862
9801,0.260739266872
1459,-0.0468004792929
9703,3.0666410923
10606,-0.571724534035
1017,0.0598783046007
9813,-0.999176561832
7485,-1.08879899979
2109,-0.482149541378
23271,-0.0195268392563
9915,-0.531003117561
9552,-0.19328327477
93487,1.78962111473
2956,-1.01908016205
11065,-0.553823947906
9653,0.490283340216
200081,0.105575412512
3337,1.2583091259
11073,0.115765325725
23,0.487782657146
5641,1.11659801006
8720,0.795699894428
10782,-0.436094671488
25932,-0.0710408613086
3028,1.53105962276
6804,-0.275992065668
890,-0.10216242075
6390,-0.796999394894
4303,0.177226513624
10953,-0.0778610408306
22889,1.02931272984
3098,-0.142204642296
11044,-1.15740680695
8985,0.282125622034
66008,0.904014587402
9217,0.364083766937
701,0.451940894127
6182,0.493613660336
4860,0.110901728272
7398,0.186145722866
6117,0.187858700752
23588,0.279166251421
949,1.02560508251
7168,-0.343624919653
9375,0.439098119736
4927,0.920010328293
2523,-0.163425400853
58497,-0.0293911248446
6856,-0.188407227397
26036,1.22141706944
10206,0.389954268932
25793,-0.372836530209
55556,0.627705574036
3978,0.310694336891
10681,0.53779900074
3638,0.0214313566685
8349,0.240158259869
6275,-0.186229676008
3895,-0.420652359724
392,1.0357350111
9170,0.409695655107
80347,0.664480447769
23300,1.22234833241
836,-0.678866624832
11188,1.07487607002
10898,-0.604037761688
9276,-0.969861149788
1647,-0.33755466342
10285,-0.57241922617
23386,-0.178722992539
3156,-0.416284561157
10237,-0.631772994995
7077,-0.59472233057
11157,0.791710972786
22908,0.888890147209
10915,-0.105932801962
9897,-0.710542619228
1759,-0.847410678864
54541,-0.398466825485
211,-0.209928810596
5048,-0.571193873882
84722,-0.586475789547
29890,0.822976708412
9868,0.654514074326
873,-0.466519057751
5580,0.331154167652
3725,-0.230878219008
23585,-0.00771624967456
51097,0.419358491898
1831,-0.492111802101
7020,-0.462822318077
55893,-0.790230453014
6944,-0.712954878807
22883,0.210376083851
5601,0.109109789133
10775,0.313606202602
4780,0.28075915575
10904,1.19341433048
9917,0.685646295547
1399,-0.0148967206478
24149,0.812893986702
2222,-0.015285462141
10131,0.231586754322
2958,0.0524768233299
9650,-0.544023096561
7319,-0.409360408783
4817,0.147524267435
9143,-0.541950762272
10494,0.206959068775
55324,1.52220022678
23149,-0.207074761391
9943,-0.291634261608
6599,0.167520239949
51031,0.0298383980989
3566,-2.3178088665
3815,-0.233880981803
8624,1.01294827461
27346,0.544323444366
10489,0.430860042572
26128,0.188408091664
79921,-0.208308950067
55746,1.36776638031
23636,-2.02285003662
10892,1.64561915398
10652,-1.74442017078
11004,1.17853426933
23530,0.0803699567914
8826,0.0773020237684
3308,-0.034320756793
7153,0.509685456753
11041,0.0392245277762
6342,-1.54900741577
5883,-0.54575330019
10589,0.520116150379
5110,-0.425464034081
4609,-0.151450768113
5423,0.263795375824
1070,0.401923894882
10051,-0.979680657387
6603,1.17264461517
9019,0.778747320175
10969,-0.190749496222
9797,0.550053596497
4043,-0.568656206131
9519,0.296236097813
8480,-5.6946554184
983,-2.00493431091
10559,0.424890995026
8508,0.139347374439
9275,0.504384994507
8914,0.876948595047
54505,-6.81606578827
6919,0.447053313255
2274,-0.0369306355715
2288,-0.117116250098
7994,1.37078380585
4216,0.564890801907
7538,-0.782946527004
3628,0.91421687603
2037,0.119370549917
2771,0.230561569333
7264,-0.0128798857331
1786,-0.517340898514
5873,0.340727925301
780,0.0283474102616
9926,1.16137170792
8446,-0.349304080009
7159,-0.126642331481
1026,0.00824625790119
7082,-0.189273908734
10058,1.09043705463
10797,0.866049587727
11230,0.642992317677
30836,0.00295247137547
27336,-0.424301624298
9918,0.0616712868214
79073,1.22043704987
9688,1.54281592369
23659,0.591736316681
8396,-0.0198125764728
23077,0.385446995497
10857,0.621673345566
16,0.148394703865
2817,0.0519864335656
60528,1.32934355736
5359,1.73072135448
1514,0.16292963922
1509,-0.598661780357
9181,0.156521439552
3611,-0.296163141727
4783,-0.866341590881
10123,-0.269268810749
8895,0.124569386244
9805,-1.98723948002
4125,0.416804462671
1635,0.774352908134
4154,1.25536942482
26292,1.93217992783
5770,-0.915816664696
25874,-1.17748391628
11319,-0.508204579353
1153,1.26342141628
11098,-6.31805181503
8974,0.576868891716
533,1.22146558762
823,1.03027713299
6812,-0.204010128975
3693,0.322828412056
4891,1.08081710339
10954,-0.0751408785582
5909,0.937956035137
9221,0.0461650192738
847,-1.53429853916
11072,-0.148130476475
10221,-0.644927561283
7158,1.32638061047
8678,0.0210653543472
11014,0.301352530718
1994,-0.731677770615
3482,-0.319851368666
25976,0.837106525898
10491,0.176978960633
51053,-1.16413140297
9267,-0.0112394094467
5547,0.222504675388
6597,1.2327760458
5836,-0.254851102829
6118,1.39251708984
2961,-0.511673867702
310,-0.180039793253
7296,-0.806032538414
1429,-0.228829711676
2548,0.477027386427
6499,-0.269760221243
642,1.16004085541
23076,0.126496255398
10099,-0.155088290572
9817,-0.106077343225
9126,-0.423655033112
3930,0.452118754387
10450,0.398286640644
54386,-0.238706618547
664,0.240407049656
596,-0.867901563644
10180,1.63912212849
1445,1.48600995541
230,0.0619127005339
9246,-0.399280577898
5092,1.20927405357
23463,1.01930785179
10007,-0.41887229681
4925,0.404070675373
6251,0.158149123192
5782,0.410680919886
5106,-0.0311428010464
2673,-0.674637675285
644,1.25043034554
6284,0.120803877711
4605,0.145410835743
6810,0.183241546154
54499,-0.0738643705845
11007,0.0371240526438
1643,1.00821423531
25805,-0.0483407825232
3033,0.859417676926
2745,-0.558000206947
9961,-0.747294545174
3925,0.139582544565
2582,0.350264906883
5792,-0.656285643578
5236,-0.249728143215
4016,-0.0761994421482
4651,0.960984587669
3988,0.264089077711
26227,-0.439762532711
7982,0.532720625401
3551,0.73570394516
5108,1.23143339157
8870,0.459539651871
2195,-0.206435203552
8731,0.00907972455025
1956,-0.919725716114
10276,-0.502308964729
1666,0.655937314034
4864,0.182954117656
4232,-0.670557141304
5050,0.0439340956509
813,-0.776699006557
3964,-0.818480372429
26020,0.753210961819
481,-0.475743025541
5019,0.888184905052
291,0.315772563219
10973,0.647353410721
9697,-0.648656666279
5831,0.430868983269
8202,0.0485343709588
57804,0.30888324976
5566,-0.264593988657
57149,-1.40169537067
7416,-0.173831343651
10174,0.347628355026
6676,0.452918231487
8884,0.69278973341
5997,0.157292664051
57147,0.50679820776
6909,0.594525933266
9093,-0.777943134308
23142,0.361517876387
8444,-0.270393610001
11232,-0.681537687778
27095,1.17234015465
10732,-0.100135847926
23029,0.468298256397
9270,0.229548662901
47,-0.400497555733
5889,0.217205300927
8243,-0.295478224754
10730,-0.709727883339
30,0.100112453103
7466,0.457797825336
89910,-0.699255347252
56654,-0.0638311430812
501,-0.688140928745
5438,0.1090124771
26993,-0.058059707284
55111,0.325475931168
8520,-0.0786264240742
10146,0.639485120773
7165,0.347124993801
55011,0.791797399521
6461,-1.43759346008
10813,0.623541593552
80746,-0.465382874012
10434,-1.88964676857
5607,0.512588799
22827,-0.121223643422
51635,0.526382029057
84159,-0.740589976311
3508,0.274883896112
84890,-1.75517916679
79600,0.259680569172
8574,0.204887226224
5529,0.601346611977
3909,0.383600771427
9637,-0.342715591192
8518,0.64346408844
6443,-0.586024880409
58478,0.184373751283
4850,0.999052643776
23210,1.27290987968
54733,1.22677767277
55129,-0.881245136261
10273,0.0615615844727
572,-1.2181251049
5716,-1.10878896713
22841,0.353168427944
2356,2.41273546219
6050,0.687985241413
64422,0.320594251156
8837,6.24985599518
55127,0.585803925991
23335,-0.756259441376
10270,0.484772056341
6509,0.304224729538
83743,0.585463345051
6772,-0.556288540363
22887,-0.296705842018
51001,-0.336861014366
26511,-0.511186957359
7874,-0.657974481583
51070,0.174794077873
1738,-0.165905430913
3416,0.198577135801
9128,0.85914170742
9833,0.0411824695766
