rid,CPD001_MCF7_6H:BRD-K12437696-001-04-6:10,CPD001_MCF7_24H:BRD-K12437696-001-04-6:10,CPD001_PC3_24H:BRD-K12437696-001-04-6:10
1019,0.953795433044,0.791215538979,0.257787406445
51422,0.191588625312,0.229304850101,1.016923666
5788,-0.379488885403,-0.757700026035,-0.650070667267
6709,0.317673832178,-0.175947725773,0.00574898347259
1277,2.59604287148,-0.10690112412,0.800350606441
993,0.627575099468,0.321921646595,0.369507908821
7157,0.628112256527,-0.415058553219,-0.644095599651
1958,0.301689207554,0.0894911810756,-0.440580368042
4582,0.048995308578,0.771256804466,0.445765048265
9212,-1.29889035225,-1.0981554985,-0.339653193951
8440,-0.251203477383,1.55026710033,-0.252310186625
6790,0.0846355557442,-1.2490568161,-0.477980434895
8851,3.51218414307,0.360794663429,0.531220793724
2534,-0.397640645504,-0.4861715734,0.767775475979
4893,0.933882594109,0.15731933713,-1.24380147457
665,0.0251519680023,0.00913556478918,-0.0322208404541
4313,-0.225209951401,-0.906517326832,-0.280750781298
1022,0.494550943375,0.170022428036,0.731753647327
5880,-0.231376394629,-0.973543763161,0.496612101793
3162,-0.419100284576,-0.27411660552,-0.686820626259
1282,-0.848838567734,-0.783839404583,1.00632143021
3383,-0.853062212467,0.10346583277,0.636457264423
727,-0.610371649265,-0.937584161758,-0.309296637774
4792,-0.323453187943,-0.639518260956,-0.233016863465
4794,-0.112413883209,-0.70100748539,-0.436891645193
902,-0.441628575325,-0.697122633457,-0.888852894306
8091,-0.358371287584,-0.143051788211,0.414525508881
3486,-0.389618039131,-0.918237745762,0.417626291513
10818,-1.24587035179,-1.10403716564,-0.691381812096
3454,-0.281102061272,-0.784489989281,-0.243239417672
4282,0.130976319313,0.235141396523,-0.233189657331
1605,0.892864882946,-0.0231030620635,-0.052897259593
10644,0.0709725469351,-0.726692080498,0.338551342487
2065,0.3459828794,1.59614419937,-0.107820563018
8321,-0.649305641651,-0.431216478348,-0.00259631872177
8503,0.129317775369,-0.53805243969,-0.810095250607
7027,0.428498268127,-0.711997032166,-0.475757002831
6850,0.110509470105,-0.336751878262,-0.0559445172548
1978,0.0889060422778,0.229264751077,-0.901222705841
896,0.689488112926,0.586849808693,-0.0202449448407
5777,-0.420503288507,0.0108451470733,-0.269209414721
1846,-0.175374090672,-0.497092545033,-0.0116465836763
5925,0.172923028469,-0.339457392693,-0.717691302299
142,-0.191611856222,-0.649929225445,0.847438693047
1021,-0.138108834624,0.0578983724117,0.830613195896
5699,0.445634961128,0.344275146723,0.4866771698
8061,-0.530797123909,-0.620064675808,0.347042620182
1870,-0.883580327034,-0.0976862758398,0.615066885948
1398,-2.48535370827,0.717974305153,-3.2922565937
3312,-0.319608002901,0.281083017588,-0.758701443672
891,0.782379448414,-0.32530772686,0.0355954915285
4775,-0.298095732927,-0.661113858223,0.410384595394
5111,0.322328209877,0.870432496071,-0.70567625761
5696,-0.753029942513,-0.100314415991,0.977474212646
5588,-0.994822859764,-0.811701893806,-0.133868783712
6839,-0.115703880787,0.508304655552,0.359523594379
329,-0.029199147597,0.365085303783,1.36105561256
5058,0.667863726616,-0.515121996403,1.30479443073
998,0.113964378834,-0.562263250351,-0.855773687363
9134,0.323373228312,0.309354126453,-0.543673217297
6616,-0.509881854057,-0.348306298256,4.00591039658
5223,0.11380905658,-0.638841986656,-0.904320836067
4690,0.436803519726,-0.512935161591,-1.0951488018
958,0.0258933007717,0.256703466177,-0.0263416469097
1616,-0.182663410902,-0.412306040525,0.911101341248
991,-2.01057839394,-0.318594276905,-1.6725692749
6347,0.945289254189,-0.182923778892,-0.061963878572
6714,0.406672358513,0.0889037996531,-0.537142395973
652,0.35467171669,-0.371313929558,0.320182025433
4331,0.512505888939,1.11582446098,-0.742650866508
7099,-0.311611682177,-0.39772105217,-0.395291268826
10320,-0.0722413361073,-0.308661311865,-0.335288703442
2042,-0.411651730537,-0.272580862045,0.567904949188
843,-0.560433030128,1.90634894371,0.100451439619
840,0.0769506245852,0.802007198334,-0.0460332334042
7048,0.0387195050716,-0.0321826450527,0.553956389427
4851,-0.313297152519,-0.932930707932,-0.538624763489
6464,-0.62763351202,0.320303559303,-0.593114852905
23410,-0.583888292313,-0.65510058403,-1.16148364544
54205,0.644744813442,0.766830205917,-0.0152005851269
2770,-0.30263325572,-0.860976219177,-0.0690146535635
80204,-0.478758364916,-0.556668758392,-0.263451635838
4208,-1.24420082569,-0.495673656464,-0.49787774682
1845,0.0215140879154,-3.08275055885,0.37775310874
23368,-1.39967656136,-0.645506262779,-0.0144072175026
5583,0.0880639106035,-0.00102684646845,0.292389422655
8900,0.118165798485,-0.490225553513,0.081608325243
581,0.139785438776,-1.00917267799,-0.237041711807
6193,0.0573962032795,-0.465131014585,-0.685758471489
6622,-0.1869443506,-0.945338487625,-0.276664316654
11261,0.635445415974,1.2803580761,0.380030304193
6696,-0.404883176088,-0.130231082439,0.654921174049
8312,0.131413176656,-0.77966105938,1.07283079624
835,-0.162806525826,-0.0474807247519,-0.100612215698
8324,-0.495987951756,0.749203324318,1.31319069862
1848,-0.099884942174,-0.482497930527,-1.11247062683
154,-1.04065608978,-0.0384079031646,0.987749397755
4312,-0.605945408344,-0.538144052029,-0.308894068003
