rid,DOS024_VCAP_6H:BRD-K96663038-001-01-9:5.31,DOS024_VCAP_24H:BRD-K96663038-001-01-9:5.31,DOS053_A375_24H:BRD-K96663038-001-01-9:5.31,DOS053_A549_24H:BRD-K96663038-001-01-9:5.31,DOS053_MCF7_24H:BRD-K96663038-001-01-9:5.31,DOS053_PC3_24H:BRD-K96663038-001-01-9:5.31
10398,1.60150003433,-0.248885750771,-0.157000005245,-0.163199990988,-1.37080001831,-0.00299999117851
5708,-1.18950009346,0.869595229626,-1.02074992657,0.558600008488,-1.90339994431,-1.9592499733
1213,-1.80764997005,-0.2350037992,1.12674999237,-0.149899989367,0.23900000751,0.883599996567
226,-0.667050004005,1.18083131313,0.0886499881744,-0.331849992275,1.12529993057,1.07889997959
6777,0.789499998093,-0.341473609209,-0.156299993396,1.29404997826,0.570399999619,-0.821900010109
2113,0.365649998188,-1.3236041069,-0.324500024319,-0.502099990845,-0.854699969292,1.39149999619
3329,-1.08625006676,0.427036911249,1.02114999294,0.0480000004172,1.09590005875,1.03629994392
1050,-0.175650000572,1.02536714077,-0.209399998188,0.427849978209,0.635850012302,0.325999975204
9491,2.23900008202,-1.15407574177,-1.21394991875,0.481599986553,-1.20969998837,-0.818400025368
22926,0.799399971962,0.872625350952,-1.79110002518,-3.19280004501,0.651000022888,0.155849993229
5899,2.12380003929,-1.07860422134,0.277449995279,0.491500020027,-0.185550004244,0.104700006545
5467,0.854699969292,0.802215099335,-0.871100008488,-0.731999993324,-0.859400033951,-0.518500030041
6774,0.668200016022,0.269030719995,0.466850012541,-0.582949995995,1.08469998837,-3.78325009346
1788,0.950699985027,-0.609524130821,-1.50559997559,-0.527450025082,-0.322149991989,-2.16735005379
5921,0.388999998569,-0.679302334785,0.0798500031233,-0.343149989843,0.0443499982357,-0.158099994063
5721,0.0592999905348,-0.417992174625,-1.44739997387,0.267899990082,-0.22595000267,-0.78434997797
2263,2.19254994392,-0.917526900768,-0.764999985695,-0.369800001383,1.04305005074,-0.163850009441
808,1.74269998074,-0.360770046711,-0.350349992514,0.380600005388,-2.72455000877,-1.7404500246
30001,-0.219650030136,0.562549173832,0.245349988341,0.172700002789,0.338150024414,1.06905007362
348,1.62290000916,1.03628110886,-0.436749994755,0.0725499987602,1.20885002613,-1.13525009155
30849,-0.0367000102997,-2.18108725548,-0.913099944592,0.173649966717,-0.517899990082,0.491700023413
1454,0.29929998517,3.99150466919,1.00209999084,-1.75720000267,0.557000041008,0.567899942398
6500,-1.1780500412,-0.454898118973,0.808650016785,-0.782350003719,0.246649995446,0.860499978065
5627,-0.363099962473,-0.365133941174,0.536099970341,-0.157849997282,0.0913499891758,2.31764984131
5715,-0.744149982929,0.287883460522,-0.570950031281,-0.467549979687,0.0915499925613,-1.19814991951
4791,1.02635002136,0.223804116249,-0.619249999523,-0.412250012159,-0.442900002003,-1.19175004959
56924,0.592599987984,0.622020184994,0.585799992085,-0.70995002985,0.422349989414,0.797199964523
2690,-0.665849983692,0.669825613499,0.161149993539,-0.119150005281,-0.694800019264,0.39359998703
1019,-1.73994994164,1.06218218803,-1.62045001984,0.0796499997377,0.203700006008,-0.561649918556
51422,2.01905012131,0.168359577656,0.0123500004411,0.0477999970317,-0.428000003099,-0.981599986553
5788,0.219650000334,-0.66269248724,0.112300001085,-1.45504999161,-0.0798500031233,-0.969699978828
6709,-0.247099995613,-0.779476761818,0.351400017738,-0.0197499990463,0.506049990654,0.889950037003
1277,1.35479998589,0.609712839127,0.767250001431,1.29130005836,0.236199975014,-0.0821499973536
993,-0.185950011015,-1.15482592583,-0.615050017834,0.53560000658,0.592000007629,0.000399991869926
7157,-0.791849970818,0.203709423542,-0.199900001287,0.199750006199,-0.858899950981,0.01439999789
1958,-1.06684994698,-0.432595074177,0.375199973583,-1.82105004787,1.06554996967,-0.187850028276
4582,0.587000012398,5.52910327911,1.85500001907,0.295700013638,1.28884994984,-0.0793500095606
9212,0.102949999273,0.963353335857,0.0864500030875,0.334099978209,-0.429949969053,0.277899980545
