rid,AML001_CD34_24H:BRD-A74382794:10,AML001_CD34_24H:BRD-A74382794:3.33333,AML001_CD34_24H:BRD-A74382794:1.11111,AML001_CD34_24H:BRD-A74382794:0.37037,AML001_CD34_6H:BRD-A74382794:10,AML001_CD34_6H:BRD-A74382794:3.33333,AML001_CD34_6H:BRD-A74382794:1.11111,AML001_CD34_6H:BRD-A74382794:0.37037,AML001_HL60_24H:BRD-A74382794:10,AML001_HL60_24H:BRD-A74382794:3.33333,AML001_HL60_24H:BRD-A74382794:1.11111,AML001_HL60_24H:BRD-A74382794:0.37037,AML001_HL60_6H:BRD-A74382794:10,AML001_HL60_6H:BRD-A74382794:3.33333,AML001_HL60_6H:BRD-A74382794:1.11111,AML001_HL60_6H:BRD-A74382794:0.37037,AML001_PC3_6H:BRD-A74382794:10,AML001_PC3_6H:BRD-A74382794:3.33333,AML001_PC3_6H:BRD-A74382794:1.11111,AML001_PC3_6H:BRD-A74382794:0.37037,AML001_U937_24H:BRD-A74382794:10,AML001_U937_24H:BRD-A74382794:3.33333,AML001_U937_24H:BRD-A74382794:1.11111,AML001_U937_24H:BRD-A74382794:0.37037,AML001_U937_6H:BRD-A74382794:10,AML001_U937_6H:BRD-A74382794:3.33333,AML001_U937_6H:BRD-A74382794:1.11111,AML001_U937_6H:BRD-A74382794:0.37037
5054,0.683250010014,-0.965349972248,-1.57940006256,0.375900000334,-0.0700628459454,0.532668709755,0.595214486122,0.508554458618,-0.044751368463,-0.795493841171,-0.730530202389,-0.589912414551,-0.584093153477,0.913254976273,2.73119139671,1.44182133675,0.300455570221,0.196433931589,0.031835436821,0.583708286285,0.256199985743,0.490000009537,0.820950031281,-0.19754999876,0.224373966455,1.31492424011,-0.784419715405,0.686175942421
3108,-0.184199988842,0.178149998188,-0.25830000639,0.179349988699,-0.915864884853,0.649367272854,0.129988595843,0.469238400459,0.198675900698,0.394717186689,-0.351924300194,-0.439837664366,-0.0479710251093,0.810094594955,-0.352650046349,1.42800498009,0.694888949394,0.542858123779,-0.0829222351313,0.0175990462303,1.87565004826,0.301599979401,-1.70450007915,-0.219050019979,0.789348304272,-1.36787688732,-1.01530563831,-0.00994490925223
1950,0.660650014877,-0.394550025463,0.324550002813,-0.118200004101,-0.244690790772,-0.695125639439,0.833661913872,0.00823569297791,0.792534649372,-0.371041983366,-0.294224381447,-0.408811509609,-0.0774511247873,-0.383878707886,-0.402962505817,0.253802001476,0.374017417431,-0.412570178509,0.13743814826,-0.513976871967,1.49265003204,1.22230005264,1.08220005035,0.414299994707,0.502801239491,0.290097922087,-0.362101256847,-0.609400808811
351,0.908050000668,-0.247300028801,0.261799991131,-0.196000009775,-0.715213298798,-0.477318018675,0.0681512802839,-0.657999157906,0.361538439989,-0.576627492905,-0.667024075985,-0.279665201902,0.0271831825376,-0.450865507126,0.611275315285,-0.126386627555,0.338297426701,-0.364103376865,-0.246452435851,-0.0495755821466,0.340799987316,3.21790003777,0.360400021076,0.697100043297,0.586736261845,-0.511837422848,-0.491546958685,-0.320813655853
4846,0.112850010395,0.183899998665,0.359899967909,1.30439996719,-0.96301984787,0.136092528701,0.326123118401,-0.722019076347,1.08933961391,-0.645055055618,-0.135020688176,-0.174132540822,0.0181728601456,0.90636664629,-0.275232851505,1.32922697067,-0.0974608659744,-0.914310455322,-0.0232953876257,-0.144923120737,-0.216250002384,-0.860550045967,0.0038999915123,-0.252749979496,0.98621660471,0.176290333271,-0.625398516655,1.27928686142
1452,0.428700000048,-0.473049998283,0.254299998283,0.139100000262,0.24571493268,0.481939435005,-0.0435289442539,0.870130062103,-0.25556114316,0.636460602283,0.63829189539,0.3585947752,0.502577424049,0.0211785435677,0.282317221165,0.170478641987,0.22288107872,0.342079609632,0.421251058578,-0.358092308044,-1.81850004196,0.0945499837399,0.989899992943,0.0226500034332,-0.412616312504,0.54151070118,0.913720607758,0.000992365181446
4776,0.195299983025,-0.346199989319,-0.331700026989,-0.15110000968,-0.317553281784,-0.365828901529,-0.103214539587,-0.179572418332,0.466278582811,-0.214677810669,-0.536243319511,-0.589040637016,-0.83072245121,-0.339569091797,-0.623007953167,-0.0855101719499,-0.316454231739,0.459656894207,-0.652423501015,0.242792233825,0.589349985123,1.39440000057,2.67344999313,0.236699998379,-0.228403896093,0.576662957668,0.277483224869,-0.455181866884
6908,0.0758500099182,-0.418949991465,0.815050005913,1.64065003395,0.809893190861,-0.11390914768,0.355727165937,0.573888659477,-0.137651979923,1.01275348663,0.364872634411,0.833279132843,0.349834620953,-0.308198064566,-0.175716146827,1.42314970493,0.0203851051629,-0.0421846844256,0.691471993923,1.21013617516,-2.92030000687,0.226449996233,-1.69665002823,0.649349987507,-0.115613080561,-0.655479848385,0.161516934633,0.504970669746
672,0.514449954033,-0.92585003376,0.842049956322,0.0637000054121,0.481446951628,0.145672306418,0.421694338322,0.656404614449,0.654303491116,0.228560224175,0.708349645138,0.500840544701,0.231101483107,-1.23353648186,0.767737567425,0.289717316628,0.411258161068,0.722580969334,0.638152599335,0.947776794434,-2.66890001297,1.89145004749,0.198750004172,0.326649993658,0.558722138405,-0.177582740784,0.229900926352,0.291051208973
5710,-0.262999981642,0.582149982452,0.0106000006199,0.334049999714,0.362117826939,0.876298308372,-0.322968184948,0.603506207466,-0.793211817741,0.543021738529,0.426553726196,0.692174434662,0.716511845589,-0.878516018391,-1.01828241348,0.091738730669,-0.406434267759,0.497915357351,0.342946320772,0.39205878973,-2.76524996758,-1.48675000668,-0.359400033951,-0.801200032234,-0.982062458992,0.52736967802,0.92137658596,0.421777963638
