rid,CPC012_A375_6H:BRD-K29003210-001-06-9:10,CPC012_A549_6H:BRD-K29003210-001-06-9:10,CPC012_A549_24H:BRD-K29003210-001-06-9:10,CPC012_ASC_24H:BRD-K29003210-001-06-9:10,CPC012_HA1E_6H:BRD-K29003210-001-06-9:10,CPC012_HCC515_6H:BRD-K29003210-001-06-9:10,CPC012_HT29_6H:BRD-K29003210-001-06-9:10,CPC012_MCF7_6H:BRD-K29003210-001-06-9:10,CPC012_MCF7_24H:BRD-K29003210-001-06-9:10,CPC012_NEU_24H:BRD-K29003210-001-06-9:10,CPC012_NPC_24H:BRD-K29003210-001-06-9:10,CPC012_PC3_6H:BRD-K29003210-001-06-9:10,CPC012_PC3_24H:BRD-K29003210-001-06-9:10,CPC012_PHH_24H:BRD-K29003210-001-06-9:10,CPC012_SKB_24H:BRD-K29003210-001-06-9:10,CPC012_VCAP_6H:BRD-K29003210-001-06-9:10,CPC012_VCAP_24H:BRD-K29003210-001-06-9:10
8726,-0.106148168445,1.14043343067,0.640550017357,4.37532567978,-0.639603495598,0.755300402641,-0.0929793044925,-0.773099780083,-0.0925812125206,-0.767671465874,-0.714555084705,-0.434128373861,0.154434323311,0.00694012641907,2.77034187317,0.920369446278,-0.873934149742
2185,3.47399044037,1.82740151882,-0.992049992085,-1.1763638258,2.5622177124,0.21240735054,0.400550723076,1.09970617294,0.625070810318,-0.180108249187,1.21029067039,0.505480647087,0.00737822800875,-2.06866002083,0.295876592398,-0.466805845499,0.237762212753
3315,-1.48838460445,-3.19640278816,1.43700003624,0.787000477314,-1.16688704491,-0.937286734581,-1.35884022713,-0.628781437874,0.188942521811,-1.06132388115,-0.0930824279785,-0.577525794506,0.395217299461,1.52262556553,-0.824086070061,-0.268655270338,0.5585039258
5289,-0.123238056898,1.50947499275,-0.953150033951,1.60727858543,-0.396174550056,-0.300518155098,1.05728423595,-0.88158082962,0.969817996025,0.0061150919646,0.828866839409,-0.659018397331,0.426170229912,-0.570515275002,1.70906186104,-0.120908424258,-0.0652608200908
868,1.45754861832,0.811642229557,0.76734995842,0.77218413353,1.03573441505,0.167433232069,0.0640235096216,0.562641501427,-0.31542879343,0.460502445698,0.332483291626,-0.259490162134,2.81870222092,-0.761057317257,0.532513260841,0.0525455139577,0.544337213039
1677,1.96464371681,1.84322869778,0.190099999309,-0.527263522148,2.98072004318,0.0669410228729,1.17434513569,0.568462371826,0.499713659286,-0.380844831467,1.41382491589,-0.483216524124,1.61863875389,-1.0073184967,0.0453268885612,-0.0120070874691,0.287228345871
7043,2.60327792168,0.962596416473,-1.00979995728,0.510654687881,2.30032300949,-0.549074351788,0.261975318193,0.203439727426,-0.713288784027,0.0673095285892,0.785107314587,0.37659946084,0.860628247261,-1.1238462925,2.15995502472,-0.591048717499,0.253686338663
5613,3.43430399895,1.33903884888,-0.915700018406,-0.608660578728,2.31222558022,1.00125217438,0.757143378258,0.764750123024,-0.0294118337333,-0.108703307807,2.40826845169,0.988607823849,0.0174279808998,1.44585847855,-0.465485870838,-0.0340175554156,-0.0345623642206
595,0.444544374943,-2.4327185154,0.702399969101,0.232117936015,0.722322762012,-0.348893284798,-0.670971632004,0.321855992079,0.352835714817,0.291137099266,-0.0769817233086,-0.404827982187,-1.22426140308,0.346133649349,-1.50777554512,-0.158174172044,-0.99308681488
4793,1.78448629379,-1.01316308975,0.808550000191,-1.65970087051,1.21582651138,-0.805068671703,0.810366153717,-0.902226805687,0.653365314007,4.61846208572,1.20333206654,1.65447592735,-0.91068559885,-0.24648553133,-1.63484716415,-0.543971717358,0.171269327402
2736,3.20568680763,-0.558611512184,0.00495000183582,-0.738239347935,0.544576764107,-0.645887374878,-0.701019406319,1.40332448483,-0.079423494637,0.662654519081,0.454537689686,0.792009413242,0.118933349848,-1.21502459049,0.120485395193,-0.515456974506,1.33623683453
5290,2.18489766121,1.26996803284,-0.774450004101,-0.283896207809,0.479171991348,0.472900509834,-0.326548159122,0.655012488365,1.27846121788,0.250119715929,0.151455312967,0.679183006287,0.249594032764,-1.36176013947,-1.01580989361,0.0893825218081,-0.113278605044
6194,-0.097206749022,-0.766735851765,-1.10259997845,-0.422057837248,-0.000216621352592,-0.524409234524,-0.0171013567597,-0.935944199562,0.624938726425,0.00130016112234,-0.094558775425,0.174286037683,-0.787343800068,2.59639036813e-05,-1.54279458523,0.154568225145,-0.000593166914769
1676,1.5471432209,1.5120100975,-0.246649995446,0.0747126489878,2.35698604584,0.426241666079,0.197561532259,0.792696475983,0.0706562101841,0.0189772471786,0.776218652725,0.0239592026919,1.0936948061,-1.39965701103,0.140167996287,-0.387421369553,0.0906314700842
