rid,NMH002_FIBRNPC_24H:BRD-K85732814-001-02-3:10,NMH002_FIBRNPC_6H:BRD-K85732814-001-02-3:10,NMH002_NEU_6H:BRD-K85732814-001-02-3:10,NMH002_NEU_24H:BRD-K85732814-001-02-3:10,NMH002_NPC_6H:BRD-K85732814-001-02-3:10,NMH002_NPC_24H:BRD-K85732814-001-02-3:10
5921,-2.2351911068,-0.962038934231,-2.32871341705,-1.90617537498,-2.80041313171,-1.71138513088
5721,2.37964320183,1.60043632984,1.03202748299,1.60476756096,0.128960877657,-0.527298748493
2263,0.828225433826,-0.639565944672,0.0830786824226,0.524090051651,0.306163012981,1.19651079178
808,0.284755587578,-0.515743911266,-0.438690960407,0.805667340755,0.734996795654,1.2777056694
30001,1.01750743389,0.266005933285,-0.843834638596,0.464169561863,0.0664330869913,-1.19233965874
348,8.35954856873,-1.14925527573,0.333143532276,1.37238526344,0.703347682953,-0.524755954742
30849,3.89109134674,0.304420083761,1.27771008015,4.27607536316,0.74338299036,3.76965498924
1454,-2.24894094467,-1.29910039902,-4.91159057617,-4.09699392319,-1.04838597775,-0.221656933427
6500,0.605541825294,-0.195957064629,0.566490530968,0.459561765194,-0.104565151036,0.498146027327
5627,-2.21058011055,-0.628878831863,-0.792826116085,-0.0466485023499,-1.45126414299,-2.13849854469
5715,-2.32684779167,-0.15717497468,1.25144302845,2.81753826141,0.738513469696,2.57974863052
4791,1.44051468372,0.952605307102,0.626155674458,2.22113418579,1.69922828674,3.46264648438
56924,-1.58062624931,-7.12275505066e-05,-0.0883327424526,0.422610729933,0.0529220402241,1.15229558945
2690,0.71879863739,0.0779926851392,0.168658047915,1.1909327507,0.0723947584629,0.459893465042
1019,-2.66141176224,-0.104439474642,-0.576277196407,-2.16571497917,-1.32321083546,-4.39390659332
51422,1.02458679676,2.5498175621,0.706903398037,2.32205510139,0.27891600132,1.66793954372
5788,0.350764989853,-1.00686132908,0.274553239346,-0.102917924523,0.305093377829,0.45880240202
6709,2.53807401657,2.42607307434,1.5914876461,-0.887109577656,2.41958498955,2.74248886108
1277,0.516413927078,0.739442944527,2.8285639286,1.53120326996,0.246175646782,3.75672030449
993,-2.29045271873,-1.19018054008,0.321395635605,-2.53820180893,-0.918118536472,-5.07844924927
7157,-5.0118227005,-1.01296019554,-1.16564273834,-2.75599503517,-1.29274439812,-8.0759563446
1958,0.439669758081,0.699601411819,2.69369745255,6.72521877289,10.0,8.33066082001
4582,-1.48262476921,-1.16300368309,-0.264500916004,-2.2425661087,-0.567982912064,-1.57409286499
9212,0.764119267464,-1.24566149712,0.281709551811,-0.354590117931,1.39567494392,-0.583842158318
8440,-0.755200147629,0.961758732796,-2.48082566261,-4.24952697754,-1.22716403008,-2.27461051941
6790,-0.665403723717,-0.345334887505,-0.0869202017784,-0.0264786817133,-1.07406401634,-1.65485215187
8851,1.53293287754,-0.5791670084,-3.57442569733,-4.90981388092,0.503906786442,-3.11519289017
2534,3.916223526,3.16593432426,-1.1281003952,-2.9164891243,-0.320663422346,-4.82438755035
4893,0.570006251335,-1.39585494995,-1.51790380478,0.247982800007,-1.87360644341,-0.809991598129
665,-2.67702770233,-0.0255694538355,-0.186840564013,1.03909778595,1.90647554398,1.98878955841
4313,-2.92707085609,0.405603885651,0.686220049858,-0.592046678066,0.72436439991,-2.8670668602
1022,0.575396299362,2.5800909996,2.53381967545,5.01743459702,4.14656019211,4.0525560379
5880,0.935592412949,0.764434218407,-0.39466330409,1.35709142685,0.0645580813289,0.0541124790907
3162,1.9943215847,0.512206673622,1.3558382988,2.33048772812,2.53372979164,5.30831480026
1282,0.15846042335,0.136459827423,-2.09578537941,-2.31379508972,-2.7241191864,-10.0
3383,3.42154622078,0.51975941658,0.146614611149,1.470028162,1.13842260838,0.634145975113
727,0.458072125912,0.418482363224,0.106674343348,1.8434574604,-0.516234874725,-0.411579430103
4792,0.240292713046,-1.75612902641,-4.20532417297,-4.79697370529,-4.22051334381,-4.18705463409
4794,1.52540493011,0.100557610393,-0.053106829524,0.713359773159,1.83110499382,0.308491408825
902,1.15035772324,0.781902372837,0.576117277145,1.29531574249,-0.134718582034,1.66850185394
8091,-1.22652697563,-0.89556312561,-0.765324056149,-1.26464390755,-1.41789484024,-6.82836484909
3486,1.48960399628,1.15689468384,0.507299900055,0.907058596611,-2.53890943527,-9.14406585693
10818,0.782318234444,0.391475021839,-0.242903202772,-0.195122092962,0.590533852577,-0.231685817242
3454,1.36098742485,-0.615499258041,-0.0940318405628,-0.105440914631,0.436800777912,0.896295368671
4282,-2.54663705826,-0.646107435226,-0.402051240206,-1.81915736198,-0.192136853933,-1.75534677505
1605,2.89188575745,1.09753203392,0.792561411858,-0.17219825089,0.50584256649,-1.49715304375
10644,-0.159600764513,0.472301155329,-2.98373508453,-4.34323549271,-2.64778137207,-0.907940745354
2065,3.00356578827,-0.273003160954,0.0749657601118,1.38044238091,1.16612780094,4.40476131439
8321,1.4100086689,0.461493074894,-0.487214148045,0.139394491911,-0.407776832581,-0.249809771776
8503,3.35491085052,0.226074516773,-2.62851190567,-2.42009615898,-1.42998385429,-2.48408031464
7027,-1.60721278191,-0.831228017807,-0.918436050415,0.222325474024,-1.8183221817,-2.35213875771
6850,0.679740071297,-0.581158638,-0.282126128674,0.901044130325,0.217299371958,0.42025488615
1978,-1.9589445591,-0.0147372186184,0.0171164795756,-2.01417446136,0.142469331622,2.05373620987
896,2.09229183197,2.84644508362,6.87135887146,4.72164916992,3.34810876846,3.86485099792
5777,1.27382218838,0.730834662914,0.512415587902,0.948199391365,0.256292700768,0.610561728477
1846,-2.29720568657,-2.24201917648,-3.39846372604,-3.90517282486,-5.98909473419,-8.02241897583
5925,0.695177137852,-0.296051859856,0.999265611172,0.679375648499,0.0294160991907,0.245306402445
142,2.74795913696,0.328801035881,-0.458268105984,-1.51373457909,-2.13522768021,-4.80785703659
1021,-1.39815115929,-0.0792190879583,-0.430217444897,-0.11427833885,-1.21664977074,-3.03050518036
5699,-2.68042612076,-1.35661804676,1.70312094688,-1.54434275627,-1.08000719547,-1.10620188713
8061,-7.7719669342,-3.74020051956,0.451339423656,1.08076763153,3.15946650505,-0.366836994886
1870,3.85733652115,-0.572054624557,0.246661797166,-0.22488206625,-1.59089064598,-2.82063221931
1398,0.276584357023,0.0506016798317,2.09342432022,1.55971503258,0.883812963963,1.82707679272
3312,-0.740041971207,1.69948613644,1.20068025589,-0.14682969451,1.07245397568,1.1512106657
891,-3.45098924637,-1.89126777649,0.219552367926,0.46578669548,0.195082128048,0.996304869652
4775,2.4657831192,0.122018910944,0.938039302826,3.31014204025,0.723289728165,0.288112550974
