rid,DOS023_VCAP_6H:BRD-K53808186-001-01-1:5.16,DOS023_VCAP_24H:BRD-K53808186-001-01-1:5.16,DOS052_A375_24H:BRD-K53808186-001-01-1:5.16,DOS052_A549_24H:BRD-K53808186-001-01-1:5.16,DOS052_HT29_24H:BRD-K53808186-001-01-1:5.16,DOS052_MCF7_24H:BRD-K53808186-001-01-1:5.16,DOSBIO001_A375_24H:BRD-K53808186:10.3279,DOSBIO001_A549_24H:BRD-K53808186:10.3279,DOSBIO001_HT29_24H:BRD-K53808186:10.3279,DOSBIO001_MCF7_24H:BRD-K53808186:10.3279,DOSBIO001_PC3_24H:BRD-K53808186:10.3279,DOSBIO001_NEU_24H:BRD-K53808186:10.3279,DOSBIO001_NPC_24H:BRD-K53808186:10.3279
4776,-0.156666249037,4.72420024872,-0.902099967003,1.72644996643,-0.296549975872,-0.264349997044,-0.895780324936,-0.789192795753,0.0769940018654,-1.008238554,-1.03776657581,-1.13319993019,0.619137167931
6908,0.552407205105,4.15834999084,-1.77999997139,0.16550001502,-0.797749996185,-1.44315004349,-0.0311094298959,-0.475181907415,0.146336004138,0.913704156876,0.0866274386644,0.414299994707,-0.059516582638
672,-0.0405100882053,0.703850030899,-4.03139972687,-2.06219983101,-0.799250006676,-0.369099974632,-0.197954893112,0.600806832314,-0.9245865345,0.410671621561,-0.0442327708006,0.530300021172,-0.532172143459
5710,-0.86990249157,0.0422499775887,-0.807000041008,-0.100149989128,0.491100013256,-0.584550023079,0.722567200661,0.105220362544,0.728259384632,0.64381980896,0.486687749624,0.457399964333,-0.490251719952
2115,-0.893157720566,-0.366749972105,-0.431150019169,1.14999997616,1.76310002804,2.7281999588,0.241699278355,-0.0426548272371,0.480345666409,0.321298718452,0.00439505279064,0.268299996853,0.425953984261
7015,-0.0874337777495,1.67439997196,-1.16145002842,1.25010001659,-0.221799969673,0.108650013804,0.08043384552,-0.282965779305,-0.0882821455598,-1.01054918766,-0.338388115168,-0.709549963474,0.279376655817
8726,-1.93549287319,0.441900014877,1.01335000992,-0.3736500144,0.0299999713898,-1.42610001564,0.601218283176,-0.352774649858,-0.124862909317,0.0253479108214,0.0936042070389,0.161849990487,-0.198179006577
2185,0.0022342056036,5.21269989014,1.09119999409,0.343649983406,0.318100005388,1.59695005417,-0.203413695097,-0.407192111015,-0.916631042957,-0.75112426281,-0.816719055176,-0.588699996471,-0.532425045967
3315,0.443814903498,-1.2811999321,1.19555008411,-0.19825001061,-4.31180000305,0.406749993563,-0.0923382341862,0.0158947370946,0.265387654305,0.461330652237,1.10406410694,-0.895200014114,0.265128493309
5289,-0.704457163811,-1.26559996605,-0.984549999237,-1.8317501545,0.0815499871969,0.906200051308,0.322054773569,0.387783646584,-0.349503219128,0.154715836048,0.669935464859,0.150749981403,0.249531015754
868,0.137548655272,0.506299972534,1.27404999733,1.34589993954,-0.373349994421,0.793850004673,-0.819873571396,0.194787457585,-0.181209430099,-0.5868922472,0.638819813728,0.157400012016,-1.05473232269
1677,-0.319755077362,4.46679973602,-1.3477499485,1.35100007057,-0.939350008965,-0.562349975109,0.101642042398,-1.16440963745,0.597899138927,-0.781611680984,0.324028253555,0.321650028229,0.279904037714
7043,-0.422805726528,0.691900014877,3.01300001144,2.05070018768,0.703450024128,1.71254992485,-0.367260038853,-0.209005355835,-0.0590659677982,-0.888158380985,-0.200149744749,0.393849998713,0.0942187309265
5613,0.775598883629,4.01555013657,0.339249968529,2.17075014114,-0.29359999299,1.23720002174,-0.446196734905,-0.117175832391,3.06007742882,-0.31239938736,0.395328044891,-0.927500009537,-0.403971403837
