rid,ERG003_VCAP_6H:BRD-K34952911:10,ERG003_VCAP_6H:BRD-K34952911:30,ERG004_VCAP_6H:BRD-K34952911:10,ERG004_VCAP_6H:BRD-K34952911:30,ERG003_VCAP_24H:BRD-K34952911:10,ERG003_VCAP_24H:BRD-K34952911:30,ERG004_VCAP_24H:BRD-K34952911:10,ERG004_VCAP_24H:BRD-K34952911:30
2690,0.902050018311,-0.384949982166,-1.08794045448,-0.266777545214,-0.306549996138,-0.0225999951363,-0.491648972034,-0.789683222771
1019,1.0258500576,0.00329999625683,0.752402544022,0.838293790817,0.506200015545,0.365099996328,0.898031234741,-0.00383035093546
51422,-0.58060002327,-0.663850009441,-0.841179728508,-0.490020930767,-0.281450003386,-0.124650001526,-0.464939892292,0.27171432972
5788,-0.0277500003576,-2.08990001678,-0.169788569212,-0.644528269768,0.0136500000954,0.960199952126,-0.75929158926,-0.788946270943
6709,0.111400008202,0.191399991512,-0.304008841515,-0.297869771719,-1.5190500021,-0.715649962425,-0.248129218817,0.0145211406052
1277,1.56694996357,-0.399250000715,-0.618340194225,-0.255122601986,-0.625649988651,0.409850001335,0.352233320475,-0.971904277802
993,1.03005003929,0.711600005627,0.208488613367,-0.00146405398846,0.249300003052,-0.604349970818,1.16120314598,-0.00193387269974
7157,1.38909995556,0.236699998379,0.401974022388,-0.0990056544542,-0.310199975967,0.849550008774,0.632473707199,-0.362575829029
1958,0.682249963284,0.877650022507,-0.114976063371,0.548084378242,0.610149979591,-0.959599971771,0.186759337783,-0.322131305933
4582,-0.907700002193,0.762549996376,-0.297145545483,-0.799940824509,-0.758349955082,-0.322299987078,-0.720380246639,-0.44493073225
9212,0.380750000477,0.109450012445,0.528029322624,0.375149697065,0.222699984908,-0.241650000215,1.02874040604,0.0389286056161
8440,-0.230549991131,0.440850019455,0.717647850513,0.4184435606,-0.235700011253,-0.0780499875546,0.0246033370495,-0.630510568619
6790,-0.962799966335,0.679549992085,-0.278330504894,0.19912302494,0.588349997997,0.0542999953032,0.215163722634,0.0819230675697
8851,1.71245002747,0.543850004673,0.770814776421,0.494842410088,-0.496399998665,-0.302249997854,-0.392603039742,-0.190467298031
2534,0.988250017166,0.54129999876,0.484608083963,0.354958295822,0.353049993515,-0.327299982309,-0.0310285687447,-0.00382298231125
4893,-0.138700008392,0.102699995041,-0.218425676227,-0.300980091095,0.625400006771,0.414200007915,0.130333334208,-0.30013614893
665,-0.276149988174,-0.230700001121,-0.480309605598,-0.238033115864,-0.248199999332,0.371749997139,-0.43729019165,-0.0679345875978
4313,1.12969994545,-1.36105000973,-0.932723522186,-0.111512362957,-0.14074999094,-0.391849994659,0.387848585844,0.282347500324
1022,-0.820150017738,-0.560350000858,-0.375099241734,-0.40509057045,0.16455000639,0.665199995041,-0.0693537294865,0.418887734413
5880,-0.381600022316,-0.851999998093,-0.0525791049004,0.35872143507,-0.323599994183,0.132949993014,0.0603075623512,-0.0374865531921
3162,-0.209550008178,-0.704900026321,0.274040192366,0.00768288969994,-0.284850001335,-1.08660006523,-0.106298789382,0.337625086308
1282,1.14849996567,-0.310149997473,-0.626001358032,-0.471275746822,-0.701300024986,-0.171199992299,-0.201715454459,-0.804976522923
3383,-1.24960005283,-0.993749976158,-0.20589157939,-0.465109288692,-0.451200008392,-0.152099967003,-0.315118759871,-0.239434108138
727,-1.65135002136,-0.58185005188,0.120500251651,-0.294916987419,-1.03129994869,-1.18089997768,-0.61985707283,0.125342577696
4792,-0.268600016832,-0.00864998996258,0.0899580419064,0.317719906569,0.659449994564,-0.876999974251,1.00991785526,-0.29174181819
4794,-0.749199986458,-0.427100002766,-0.231934636831,-0.639181792736,-0.978700041771,-0.394049972296,0.265686661005,0.324091315269
902,-0.800549983978,0.281650006771,0.238330900669,-0.585928320885,-0.878300011158,1.57165002823,0.425818800926,-0.604121923447
8091,1.02754998207,-0.497200012207,-0.223299354315,-0.81180357933,-0.694599986076,0.0442999899387,-0.590300500393,0.0535164624453
3486,-0.747400045395,-0.408450007439,0.276323139668,-0.440666228533,-0.83520001173,-0.301150023937,-0.0979289859533,-0.23762537539
10818,-0.201499998569,-1.12485003471,-0.147505223751,-0.443325608969,-0.118450000882,-0.0997000038624,-0.688031852245,0.00577211473137
3454,-0.711899995804,-0.526950001717,-0.0853016674519,-0.0773911401629,-0.488750010729,0.142899990082,0.0905761420727,0.627431571484
4282,0.509249985218,-0.229949995875,0.166813224554,-0.962824761868,0.384799987078,0.185600012541,0.175779372454,0.0554473176599
1605,-0.0865499973297,0.704100012779,-0.177268147469,-0.0951211452484,0.346499979496,-0.644999980927,-0.165738329291,-0.586707174778
10644,1.45735001564,0.0625,-0.168841406703,-0.568504333496,-0.235049962997,0.515299975872,-0.161291107535,0.730021417141
2065,0.848749995232,-0.549899995327,0.305359244347,-0.142184197903,-1.31875002384,0.459650039673,-0.350622206926,0.187807649374
8321,-0.00110000371933,-0.965100049973,0.421607583761,0.234323561192,-0.462550014257,-0.510699987411,0.311140775681,-0.674204170704
8503,-1.34934997559,-0.301050007343,-0.384649664164,-0.179612755775,-0.995149970055,-0.629499971867,0.268935739994,0.396664083004
7027,1.15420007706,0.225349992514,0.280117273331,0.076060667634,0.157649993896,1.44379997253,0.474113225937,-0.707911014557
6850,-0.120849996805,-0.721700012684,-0.651692211628,-0.0728004723787,-0.123550005257,0.164199978113,-0.0881319865584,0.326870918274
1978,-0.0791999995708,0.589550018311,0.611762344837,0.683270871639,0.311200022697,0.142899990082,-0.12588378787,-0.0762803256512
896,-0.035699993372,0.35095000267,0.54730117321,0.763332605362,-0.0630999952555,-0.523849964142,0.728667140007,0.748081564903
5777,0.465800017118,-0.7200999856,0.683675467968,-0.121083550155,-0.257199972868,-0.290199995041,0.218223541975,0.458083838224
1846,-0.410100013018,-0.239600002766,0.274954169989,-0.262215435505,-0.534600019455,-0.985749959946,0.13907417655,-0.0227727573365
5925,-0.429800003767,-0.259499996901,0.0128080323339,-0.0178901404142,-0.0615999996662,-0.225349992514,-0.186660557985,-0.204047322273
