rid,CPC011_A375_6H:BRD-K06878038-001-13-7:10,CPC011_A549_6H:BRD-K06878038-001-13-7:10,CPC011_A549_24H:BRD-K06878038-001-13-7:10,CPC011_HA1E_6H:BRD-K06878038-001-13-7:10,CPC011_HT29_6H:BRD-K06878038-001-13-7:10,CPC011_MCF7_6H:BRD-K06878038-001-13-7:10,CPC011_MCF7_24H:BRD-K06878038-001-13-7:10,CPC011_PC3_6H:BRD-K06878038-001-13-7:10,CPC011_PC3_24H:BRD-K06878038-001-13-7:10,CPC011_VCAP_6H:BRD-K06878038-001-13-7:10,CPC011_VCAP_24H:BRD-K06878038-001-13-7:10
5054,-0.013854701072,0.197809159756,-0.794359862804,0.269500017166,-0.602905511856,-0.524699985981,-0.0878999978304,0.373901873827,-0.550949990749,0.385864466429,-0.266211360693
3108,-0.0464247316122,2.78424429893,-1.42047417164,-0.236249983311,-0.0890266299248,0.27815002203,-0.864049971104,0.4741512537,-0.239950016141,0.10309651494,0.578028321266
1950,-0.774252712727,0.227087318897,-0.336803764105,-0.517499983311,-0.184349581599,0.045349996537,-0.421550005674,-0.131748557091,0.0045500099659,-0.40535774827,-0.370715051889
351,0.641281843185,-0.46735355258,-0.0921866521239,-0.564200043678,-0.846216678619,0.715349972248,-0.241349995136,-0.90640348196,0.408199995756,-0.148115947843,-0.0752885937691
4846,-0.289518088102,0.14145180583,-0.704691886902,-0.0936500132084,-0.0168390497565,-0.117900006473,0.0395500063896,-0.421638160944,-0.168300002813,0.40324485302,-0.197219759226
1452,0.127419263124,-0.459326863289,-1.12012350559,0.951099991798,-0.107552334666,-0.604599952698,-0.339549988508,0.621523618698,-0.0326250195503,-0.901463329792,0.289072096348
4776,-0.580099225044,-0.139902681112,0.201025307178,-0.342399954796,-0.486817121506,-1.08995008469,0.147200003266,-0.522913992405,0.197050005198,-0.0080628041178,0.186802506447
6908,-0.605573058128,0.729530215263,0.776265740395,-0.439999997616,-0.22613440454,-0.360650002956,0.477649986744,0.916341006756,-0.117449998856,0.0492668002844,0.043014459312
672,-0.611637115479,-0.208452552557,0.717630922794,0.275950014591,-0.255620896816,-0.417500019073,-0.0584999993443,0.0589688494802,-0.521025002003,-0.21794590354,0.243116050959
5710,-0.121101140976,-0.0813072025776,1.19478809834,-0.154499992728,-0.240650385618,-1.79810011387,0.224099993706,-0.178219735622,0.462075024843,0.273530066013,0.290405213833
2115,-0.0166906639934,-0.620757341385,0.336074203253,0.115150004625,-0.283393323421,-1.09665000439,-0.115149997175,0.269952386618,-0.117274992168,0.136175811291,0.831999063492
7015,-0.406497895718,-0.60913836956,-0.876716792583,-0.361550033092,-0.596137523651,-0.834450006485,0.351949989796,-0.683539509773,0.77307498455,-0.187144607306,0.235255300999
8726,0.261046469212,-0.0693921148777,0.617042660713,-0.0400499999523,-0.0530849024653,0.19810000062,0.427199989557,0.435822248459,-0.86382496357,0.799896657467,-0.443169951439
2185,0.0876788794994,-0.167713016272,-0.364722073078,-0.0187500119209,-0.437164574862,-0.51004999876,0.426849991083,-0.425109654665,-0.230099976063,0.306245535612,-0.192122623324
3315,0.450437575579,0.492012828588,-0.581705927849,-0.136600017548,0.118498593569,0.646149992943,0.903199970722,0.173137828708,0.531825006008,0.450303286314,-0.40046608448
5289,-0.240488737822,-0.929855465889,-0.28492718935,0.978999972343,-0.504833400249,-0.56970000267,0.374700009823,-0.221163228154,-0.463249981403,0.413121730089,-0.510587513447
868,-0.582665264606,-1.41579627991,0.38176509738,-1.39355003834,-0.614465236664,0.264250010252,-0.517850041389,-0.237115427852,-0.0261000096798,0.962647795677,-0.0960014909506
1677,-1.01095497608,-0.690688610077,-0.558200240135,0.583549976349,-0.0528556182981,-0.419750034809,-0.266250014305,-0.734221935272,-0.922049999237,0.0848516076803,0.470173299313
