rid,ERG011_VCAP_6H:BRD-K23802982-001-01-7:10.042,ERG011_VCAP_24H:BRD-K23802982-001-01-7:10.042,ERG016_VCAP_24H:BRD-K23802982:10.63,ERG016_VCAP_24H:BRD-K23802982:3.54,ERG016_VCAP_24H:BRD-K23802982:1.18,ERG016_VCAP_24H:BRD-K23802982:0.39
4793,0.497799992561,-0.311027616262,-0.221160560846,-1.07157111168,0.316227674484,0.112470090389
2736,0.907649993896,0.0270301252604,-0.146962344646,0.284194797277,-1.59464299679,0.103434205055
5290,-0.143299996853,0.284490376711,0.162857115269,-0.00277799367905,-0.245068773627,0.206781685352
6194,0.0,-1.93414711952,0.383209556341,-0.0655252635479,0.285659611225,0.301547944546
1676,0.0969500020146,0.438741326332,0.337413787842,-0.348681986332,-1.62069857121,0.333272010088
23512,0.31819999218,-0.0274251773953,1.1245111227,1.13205015659,1.44290733337,0.60962998867
148022,0.823400020599,-0.167683362961,-0.0110578536987,-0.511800408363,0.0163931846619,-1.22896671295
1906,0.144200012088,1.09665250778,0.240897327662,-0.563448309898,-1.56191062927,-0.819522202015
8878,-0.744100034237,-0.669074773788,-0.052303083241,-0.469178855419,-0.281385600567,-0.747201740742
3091,0.0394999980927,0.0768541544676,0.905649065971,-0.0687874704599,-2.20799636841,-0.266290009022
5743,-1.42834997177,-0.128671884537,-0.578044891357,-0.758744955063,-0.115529209375,0.619594871998
5321,-0.077899992466,0.296941816807,-0.00946807861328,-0.531084835529,-2.31221628189,-0.503788650036
4144,0.264699995518,1.00213742256,0.353220164776,-0.0832362473011,0.503244757652,-0.0642874240875
1981,-0.168649986386,1.92169439793,-0.680065095425,-0.840148925781,-0.496048361063,-0.128952428699
695,-0.330449998379,-0.0195691436529,0.514728546143,-0.357943594456,-0.0646656006575,-0.0283227190375
10398,-0.122650012374,1.96689164639,0.47471934557,-1.15194106102,-0.778805077076,-0.634469747543
5708,0.217000007629,0.471027195454,-0.402920782566,-0.0912108868361,-0.290240764618,-0.265500277281
1213,0.514050006866,-0.102284602821,1.08846890926,0.730736970901,1.21707165241,0.715540707111
226,0.0810499936342,-1.64895820618,0.167187690735,-0.117698743939,0.180016040802,-0.105403095484
6777,0.91320002079,-0.136195927858,-0.764699459076,-1.16820108891,-0.881106197834,-0.428732126951
2113,0.404849976301,0.738919019699,0.107183337212,-1.16087675095,-1.13532757759,-0.313077181578
3329,0.211899995804,-0.809107720852,-0.129068166018,0.31605899334,0.485347568989,-1.25290632248
1050,0.421000003815,-0.703202843666,-0.886219263077,0.407094985247,0.345223128796,-0.383972942829
9491,0.275499999523,0.0510879904032,-0.131149739027,-1.5023868084,-1.42031872272,-0.391553372145
22926,0.412349969149,0.380756437778,0.227405160666,0.561267435551,-0.220265060663,-0.566019177437
5899,-0.995200037956,-1.03653526306,-1.02290320396,-0.845950782299,-1.05278325081,-1.14054644108
5467,0.0660500079393,0.88284933567,-0.853307366371,-1.13070762157,-1.35649812222,-0.490386486053
6774,1.39274990559,3.65742564201,-0.119416728616,0.0514982789755,-0.704712629318,-0.169421941042
1788,-0.0610999986529,0.859530687332,0.168039128184,-0.680968105793,-1.80938744545,0.0999540686607
5921,-1.3776999712,-0.553500533104,-0.265137970448,-0.345968127251,-0.795987308025,0.270206093788
5721,-0.189300000668,-1.45127296448,-3.81542158127,-1.41839122772,-0.513330280781,-1.32362484932
2263,-0.213799998164,0.31987246871,-0.585757136345,-1.4639043808,-0.878473341465,0.152621865273
808,0.104649990797,0.14154034853,-0.103970572352,-0.79076820612,-1.1165753603,0.255343019962
