rid,DOS024_VCAP_6H:BRD-K09068728-001-01-2:5,DOS024_VCAP_24H:BRD-K09068728-001-01-2:5,DOS053_A375_24H:BRD-K09068728-001-01-2:5,DOS053_A549_24H:BRD-K09068728-001-01-2:5,DOS053_MCF7_24H:BRD-K09068728-001-01-2:5,DOS053_PC3_24H:BRD-K09068728-001-01-2:5,DOSBIO001_A375_24H:BRD-K09068728:10,DOSBIO001_A549_24H:BRD-K09068728:10,DOSBIO001_HT29_24H:BRD-K09068728:10,DOSBIO001_MCF7_24H:BRD-K09068728:10,DOSBIO001_PC3_24H:BRD-K09068728:10,DOSBIO001_NEU_24H:BRD-K09068728:10,DOSBIO001_NPC_24H:BRD-K09068728:10
4846,-0.599500000477,-0.382720828056,-0.420650005341,-0.221749991179,-1.49670004845,-0.568750023842,-0.123308353126,0.243618518114,0.211265847087,-0.888001978397,0.708636403084,3.29929995537,-0.105819433928
1452,1.08449995518,-0.683795928955,-0.16645000875,-0.913599967957,0.891499996185,0.473349988461,1.35933554173,0.525309801102,-0.559269428253,-1.02400255203,-0.524991512299,0.648499965668,0.0140694379807
4776,-1.37249994278,-2.0114941597,-0.628000020981,-0.052149951458,0.585300028324,-1.14085006714,-0.28434997797,0.908896684647,-0.709606766701,-0.308743208647,0.277506440878,0.724550008774,0.00973471999168
6908,0.0529000014067,0.0159133076668,0.901749968529,-0.567250013351,-0.590799987316,1.19690001011,0.20237763226,0.40912091732,-0.556663393974,-0.912489295006,-0.0658166334033,0.246549993753,0.0783355087042
672,-0.153200000525,-3.04237008095,-1.62825000286,-1.34964990616,-1.9443000555,-0.0622000023723,-1.27246451378,-0.977058172226,-0.927533745766,0.089729398489,-1.79684746265,-1.30824995041,-0.888876438141
5710,-2.72370004654,-0.803924918175,-1.32590007782,-0.480250000954,-0.684700012207,-0.759350001812,0.55471098423,-0.275658547878,-1.50516533852,-0.669490337372,0.281645387411,-0.473149895668,-0.319805026054
2115,-0.723800003529,0.67736017704,0.550050020218,-0.0903499722481,-0.653699994087,-0.0495000034571,-2.51120281219,0.640774011612,0.475904464722,1.0797727108,0.631077110767,0.355849981308,-0.155139416456
7015,-2.0297999382,-1.6251257658,-0.675300002098,-1.91225004196,0.912000000477,-1.01814997196,0.348738610744,0.447820812464,0.66026699543,-0.412519752979,-0.59186899662,-1.12074995041,-1.07556676865
8726,0.136700004339,0.469719946384,-0.360499978065,0.733349978924,-1.51479995251,1.12995004654,-0.217191651464,-0.491643249989,0.493670880795,0.204844802618,0.0750224292278,-1.30824995041,0.205329239368
2185,-1.34140002728,1.03961193562,-0.64880001545,-1.08595001698,2.24950003624,-0.432200014591,1.42240095139,1.60259079933,0.601146280766,0.304102391005,0.0674843192101,-0.0190500020981,0.177960067987
3315,-0.233899995685,0.970108985901,0.178599953651,0.993799984455,-0.237299993634,0.0666500031948,1.56036126614,0.254852801561,0.565824627876,0.234387353063,0.020210262388,0.351799964905,0.148669674993
5289,-0.165099993348,-0.150962263346,-0.849750041962,-0.162849992514,-0.92619997263,-2.14034986496,-0.0616085529327,0.570873856544,0.225177198648,-0.538664102554,0.511798322201,-0.120000004768,-0.908976793289
868,-0.215200006962,0.32650488615,-0.254000008106,0.9824000597,0.968699991703,2.98804998398,0.978281736374,0.463360756636,-0.235571354628,0.568588972092,0.201574385166,-0.995449900627,0.494019687176
1677,-0.123400002718,-2.55158519745,-0.750100016594,-0.53744995594,0.796299993992,-0.965600013733,-0.140466913581,1.75070083141,-0.441172838211,-0.211360156536,-0.101413547993,-0.272300004959,-0.541802287102
7043,-1.50740003586,0.339421004057,-0.918349981308,0.492850005627,1.68579995632,0.118600003421,0.697750031948,1.0307854414,-0.417747914791,1.12819492817,0.493079006672,-0.185850009322,0.86922699213
5613,-1.23310005665,-1.15807723999,-0.600499987602,0.252550005913,0.700200021267,-0.193850010633,-0.652680695057,1.25354814529,-0.829428195953,0.743456363678,-0.532960116863,0.259199976921,0.0779356881976
595,1.40429997444,-0.051096573472,-0.656399965286,0.488200008869,0.101099997759,-1.37555003166,0.818474769592,0.0290685892105,-0.927825629711,-0.134211421013,0.367468684912,3.99289989471,1.17591500282
4793,-0.689100027084,0.997091054916,-0.31685000658,1.4470000267,-0.855000019073,0.961049973965,1.88946151733,-0.0901808440685,0.0484446585178,0.00301259756088,0.339265048504,4.91494989395,0.881610035896
