rid,DOS021_VCAP_24H:BRD-K46730958-001-01-3:5,DOS044_A375_24H:BRD-K46730958-001-01-3:5
9854,-1.76250004768,-0.388849973679
2553,-1.14600002766,0.249099999666
5440,0.697099924088,0.574000000954
54623,0.167749986053,0.285549998283
9533,-0.0175500512123,0.879050016403
8607,0.419849991798,0.184900015593
207,0.0170999988914,0.9674000144
26054,-0.137499988079,-0.928250014782
10682,-0.00809997320175,0.155100002885
8573,-1.75,-0.357250005007
23378,0.457800000906,0.038099989295
8553,-0.0831999927759,0.573099970818
622,-0.679399967194,-0.403850018978
9467,2.0216999054,-0.0376999974251
5525,0.931249976158,-0.0940999984741
256364,-0.4428999722,-0.433050006628
332,0.899749994278,0.140000000596
2058,-0.745700001717,-0.175849989057
7849,-0.806500017643,0.995000004768
23244,-1.59494996071,-0.706600010395
7494,0.780349969864,-0.353150010109
4836,0.54414999485,-0.755199968815
23647,-1.57155001163,0.44034999609
10617,-3.15849995613,-1.52284991741
2184,1.31264996529,0.40000000596
5355,0.126650005579,-1.36374998093
6659,-0.746200025082,-0.953649997711
7016,0.243600010872,0.035000000149
90861,-0.36384999752,-0.175000011921
10670,-0.449200004339,-0.276649981737
79071,0.632300019264,0.545249998569
64746,2.09660005569,-0.551550030708
5366,-0.430699974298,-0.302900016308
11344,0.171849995852,0.348250001669
10013,0.666899979115,-0.000749975442886
5829,1.87024998665,0.746150016785
5257,-0.488649994135,0.958500027657
22794,0.769950032234,-0.687150001526
9761,-1.19560003281,-0.703050076962
23326,0.31194999814,0.0917000025511
10972,0.184749990702,-1.36294996738
10523,-5.59469985962,0.4049000144
79090,0.180500000715,0.214200019836
27032,0.709800004959,-0.173950016499
9097,-0.45349997282,-1.78884994984
10513,0.452499985695,0.225199997425
1891,-0.00710000097752,1.33809995651
3066,-0.00149999558926,-0.492250025272
9801,-2.11014986038,0.0422999858856
1459,4.50500011444,1.12879991531
9703,-0.0768499821424,0.00149999558926
10606,3.02559995651,0.678550004959
1017,0.130000010133,-1.40759992599
9813,-0.857649981976,1.82749998569
7485,-1.04555010796,0.204150006175
2109,-0.804350018501,-0.0709500014782
23271,-0.00694999098778,-0.29105001688
9915,1.07854998112,-0.257950007915
9552,0.280950009823,-0.554499983788
93487,0.5638499856,0.381949990988
2956,0.00244998931885,0.644250035286
11065,-0.532649993896,-0.316150009632
9653,2.05360007286,-0.3695499897
200081,-0.398999989033,0.334600001574
3337,0.620949983597,0.404049992561
11073,0.569550037384,-0.722899973392
23,3.26994991302,-0.144749999046
5641,2.04844999313,-0.688950002193
8720,-3.09145021439,-0.634250044823
10782,-0.238600000739,0.61755001545
25932,0.116400003433,0.108400017023
3028,0.488350003958,0.400199979544
6804,-1.20564997196,-0.751699984074
890,-0.684350013733,-0.530099987984
6390,0.521749973297,-0.0419000089169
4303,-0.405900001526,-0.174349963665
10953,-0.434450000525,-0.14865000546
22889,0.611400008202,-0.678300023079
3098,-0.79189991951,-0.388400018215
11044,1.06430006027,-0.266449987888
8985,-0.355199992657,0.193649992347
66008,0.215550005436,-1.4986000061
9217,-1.42484998703,-1.13894999027
701,-5.10144996643,-0.212399989367
6182,-0.668099999428,-0.125450000167
4860,0.0913499891758,0.270999997854
7398,-0.541949987411,0.252300024033
6117,0.00110000371933,0.349049985409
23588,1.24705004692,0.253300011158
949,-1.81085002422,0.153750002384
7168,0.842999994755,-0.217150002718
9375,-1.50040006638,-0.126200005412
4927,0.215799987316,0.910050034523
2523,0.546450018883,-0.0921999961138
58497,-0.571900010109,-1.32809996605
6856,0.0596500001848,0.0705499947071
26036,-0.870100021362,-0.256200015545
10206,1.10095000267,0.484400004148
25793,0.191150009632,-0.799899995327
55556,-1.38495004177,-0.61669999361
3978,-2.27684998512,0.337999999523
10681,-0.470499962568,-0.107250005007
3638,0.134899973869,0.731350004673
8349,1.58955001831,-0.102750003338
6275,0.177300006151,-0.231600001454
3895,-4.75180006027,1.26985001564
392,-0.271350026131,-2.08229994774
9170,-0.18710000813,-0.116899996996
80347,-0.169400006533,-0.0610499978065
23300,0.223399996758,-0.322950005531
836,0.842700004578,0.784649968147
11188,-1.18054997921,-0.177449986339
10898,-0.586250007153,1.12284994125
9276,-0.269649982452,0.0300000011921
1647,1.40710008144,1.58739995956
10285,0.276950001717,0.117700003088
23386,-0.284799993038,0.112399995327
3156,1.37400007248,0.371450006962
10237,-0.0348999798298,0.187750011683
7077,1.74129998684,0.179899990559
11157,1.11124992371,-1.32424998283
22908,0.0269500017166,-0.542750000954
10915,-0.447499990463,0.0534000098705
9897,1.89125001431,-0.6617000103
1759,-1.10609996319,0.0988000035286
54541,0.896499991417,0.467050015926
211,0.146600008011,-0.40134999156
5048,1.35514998436,-0.327150017023
84722,0.307349979877,-0.670100033283
29890,-0.128800004721,-0.119000002742
9868,0.195150002837,-0.306349992752
873,1.88115000725,-0.162199988961
5580,-2.06410002708,-0.256049990654
