rid,DOS029_VCAP_24H:BRD-K90734091-001-01-8:5.13,DOS033_A375_24H:BRD-K90734091-001-01-8:5.13,DOS033_A549_24H:BRD-K90734091-001-01-8:5.13,DOS033_HT29_24H:BRD-K90734091-001-01-8:5.13,DOS033_MCF7_24H:BRD-K90734091-001-01-8:5.13,DOS033_PC3_24H:BRD-K90734091-001-01-8:5.13,DOSBIO001_A375_24H:BRD-K90734091:10.2635,DOSBIO001_A549_24H:BRD-K90734091:10.2635,DOSBIO001_HT29_24H:BRD-K90734091:10.2635,DOSBIO001_MCF7_24H:BRD-K90734091:10.2635,DOSBIO001_PC3_24H:BRD-K90734091:10.2635,DOSBIO001_NEU_24H:BRD-K90734091:10.2635,DOSBIO001_NPC_24H:BRD-K90734091:10.2635
351,0.492499530315,0.315373510122,1.02471041679,0.797781705856,0.889974117279,-0.709862112999,0.294102549553,-2.33678388596,0.527431249619,-1.35161280632,-0.283809512854,1.15404999256,-0.391200006008
4846,0.935317695141,0.999725759029,1.55602121353,0.207436054945,-0.171842634678,-0.465146660805,-0.597388207912,-0.542458713055,0.608216524124,-0.434501320124,-1.05090403557,-0.36700001359,0.254333347082
1452,-1.4413831234,0.392990887165,-0.1640830338,-0.203747630119,0.859468758106,-0.317330628633,-0.340389341116,-0.0674589574337,-0.787768483162,-0.603345155716,-0.873631596565,0.640149950981,-0.207866668701
4776,0.274979770184,-0.141242653131,2.50268340111,2.08977890015,-0.307046025991,0.0290877223015,-0.353710055351,-0.172503262758,0.0649858117104,-1.26244831085,-0.863532066345,0.583400011063,-0.976600050926
6908,0.611709356308,0.634460270405,-0.315278410912,-0.746953845024,2.27428865433,0.373127400875,0.219097107649,1.40543580055,-1.2802644968,1.2403357029,0.875836551189,-0.118149995804,-0.273233324289
672,-0.041771709919,0.901228189468,0.151005104184,0.953817546368,0.365164071321,0.504825353622,0.26709651947,1.04224276543,0.591555595398,0.620184421539,0.43036288023,0.166749998927,-0.79340004921
5710,-0.470841735601,-0.550735414028,-0.525374233723,-0.606147289276,-0.557175755501,-0.521715283394,-0.346687972546,1.0323266983,-1.33333444595,-0.244942560792,-0.687584221363,0.708150029182,-0.657566666603
2115,0.0826047956944,-1.83504331112,-0.0247791409492,0.753935456276,0.630008637905,-1.56927251816,0.760376632214,-0.813386321068,0.970228374004,-0.116528183222,0.115067467093,-0.886849999428,-0.499233335257
7015,1.6018102169,1.0788449049,2.40979528427,3.08504962921,1.24038815498,-0.153304114938,-0.537768244743,0.428047657013,1.52840399742,-1.01773297787,-0.969737768173,0.443500012159,-0.259233355522
8726,0.198456436396,-0.28256419301,0.239770650864,-0.0992725640535,-0.0710670202971,0.424526363611,-0.318469673395,1.19124531746,0.133430182934,2.17880725861,0.429142773151,-0.186350017786,-0.118100047112
