rid,CPC019_A375_6H:BRD-K60772276-001-01-1:10,CPC019_A549_6H:BRD-K60772276-001-01-1:10,CPC019_A549_24H:BRD-K60772276-001-01-1:10,CPC019_HA1E_6H:BRD-K60772276-001-01-1:10,CPC019_HCC515_6H:BRD-K60772276-001-01-1:10,CPC019_HEPG2_6H:BRD-K60772276-001-01-1:10,CPC019_HT29_6H:BRD-K60772276-001-01-1:10,CPC019_MCF7_6H:BRD-K60772276-001-01-1:10,CPC019_MCF7_24H:BRD-K60772276-001-01-1:10,CPC019_PC3_6H:BRD-K60772276-001-01-1:10,CPC019_PC3_24H:BRD-K60772276-001-01-1:10,CPC019_VCAP_6H:BRD-K60772276-001-01-1:10,CPC019_VCAP_24H:BRD-K60772276-001-01-1:10
7015,-0.727681338787,-0.84500002861,0.485611915588,0.445052981377,-0.55896884203,0.840474009514,-0.247324615717,0.493266671896,-0.22620049119,-0.948924303055,-0.755157411098,0.157617002726,0.296250402927
8726,0.262885332108,-0.322450011969,-0.923055171967,0.300971478224,0.542816162109,0.215219020844,0.574790120125,0.811900019646,-0.281065940857,0.297942519188,-0.0845378413796,-0.334668874741,-0.703430831432
2185,-1.52021932602,0.150350004435,-0.984006762505,0.496920406818,0.456582278013,1.09132528305,-0.655148386955,0.196266651154,-0.538764119148,-0.967265963554,-0.470855683088,-0.55153876543,0.250641971827
3315,0.445177674294,-0.147899985313,0.210867315531,-0.885001063347,0.562258005142,-0.955327391624,-0.355224937201,0.0202333033085,-0.0742276534438,0.346344441175,0.264206647873,-1.35990488529,0.650714874268
5289,0.185566782951,0.544299960136,-0.309767335653,0.885541975498,-1.02844202518,-0.798412144184,0.136451840401,-0.16550001502,0.362546980381,-0.784496188164,0.706014335155,-0.598534345627,-0.12330583483
868,3.28217339516,-0.257899999619,-1.19672548771,-0.21009336412,-0.0296560972929,-0.206482082605,-0.420911312103,1.8751667738,-0.770915985107,-1.20693409443,-0.490341871977,-0.309375286102,0.566933751106
1677,0.211605668068,-0.540700018406,0.185428857803,0.103201679885,0.455504119396,0.247766047716,0.057455599308,-0.342466682196,-0.559530973434,-1.284709692,-0.0554283410311,0.207250535488,-0.221660375595
7043,-0.0737174749374,-0.0079500079155,-0.698899388313,0.150435686111,-0.414374291897,0.709203124046,-0.505205631256,0.0340666770935,-0.371388614178,-0.470145821571,0.258858919144,-0.210036247969,0.667898714542
5613,-0.237084791064,-0.450199961662,-0.771878480911,-0.10153862834,0.959150612354,1.27686285973,-0.480468511581,-0.103233359754,-1.04865658283,-0.283079087734,0.131864622235,-0.134858578444,0.216638311744
595,1.0179848671,-0.0680499970913,-0.127750813961,0.482274115086,0.764631986618,-0.878753185272,0.664291024208,0.276133328676,-0.00156329572201,0.467707306147,0.474332481623,0.489880979061,0.0564249455929
