rid,CPC001_HA1E_6H:BRD-K02275692-003-03-4:10,CPC001_HA1E_24H:BRD-K02275692-003-03-4:10,CPC001_HCC515_6H:BRD-K02275692-003-03-4:10,CPC001_HCC515_24H:BRD-K02275692-003-03-4:10,CPC001_PC3_6H:BRD-K02275692-003-03-4:10,CPC001_PC3_24H:BRD-K02275692-003-03-4:10,CPC001_VCAP_6H:BRD-K02275692-003-03-4:10,CPC001_VCAP_24H:BRD-K02275692-003-03-4:10,CPC017_A375_6H:BRD-K02275692-003-03-4:10,CPC017_A549_6H:BRD-K02275692-003-03-4:10,CPC017_A549_24H:BRD-K02275692-003-03-4:10,CPC017_ASC_24H:BRD-K02275692-003-03-4:10,CPC017_HEPG2_6H:BRD-K02275692-003-03-4:10,CPC017_HT29_6H:BRD-K02275692-003-03-4:10,CPC017_MCF7_6H:BRD-K02275692-003-03-4:10,CPC017_MCF7_24H:BRD-K02275692-003-03-4:10,CPD002_MCF7_24H:BRD-K21815137-003-01-1:10,CPC017_NPC_24H:BRD-K02275692-003-03-4:10,CPC017_PHH_24H:BRD-K02275692-003-03-4:10,CPC017_SKB_24H:BRD-K02275692-003-03-4:10,CPD002_MCF7_6H:BRD-K21815137-003-01-1:10,CPD002_PC3_6H:BRD-K21815137-003-01-1:10,CPD002_PC3_24H:BRD-K21815137-003-01-1:10
5054,0.597107589245,0.363488197327,-0.388099968433,-1.20250785351,0.454860001802,0.419679909945,-1.15780770779,0.208481296897,-0.0588001012802,1.15136408806,-1.61056673527,0.764069080353,-0.766696035862,-0.517394065857,0.252292096615,0.254670590162,-0.157743543386,-0.187591776252,-0.476819247007,-0.00485000014305,0.625628352165,0.387684226036,0.630977153778
3108,0.0393679440022,0.0690752863884,-0.449750006199,0.128628060222,-1.34959495068,-0.618915319443,0.352667152882,-0.999390423298,0.117744170129,0.805035412312,-1.47580003738,-0.649693191051,-0.510224938393,1.49239087105,-0.492972642183,0.179294198751,2.47617387772,5.20693349838,0.0103158056736,-0.161449998617,1.05495762825,0.0395759940147,-0.0872328877449
1950,0.757346212864,0.000823266804218,0.221749991179,-0.502267539501,0.116094410419,-1.13006699085,-0.999813258648,-0.181798443198,-0.0518519580364,-0.677449285984,-0.252133309841,0.137736141682,0.226852044463,-1.1014418602,0.895720541477,-1.00264310837,-0.168568968773,0.289239346981,1.1570763588,0.149350047112,-1.17691266537,-0.523171305656,-1.6762983799
351,0.337545573711,-0.398769646883,-0.876999974251,0.297873347998,0.100657001138,-0.463438272476,-0.223663300276,-0.00282062427141,-0.127832561731,-0.482808768749,-1.11556661129,0.130766779184,0.165141373873,-0.842966616154,1.11319029331,-0.7774502635,0.0121602714062,-0.620787024498,-0.0409455671906,-0.516099989414,2.10758399963,-0.403259605169,1.73102235794
4846,0.220329195261,-0.432999193668,-0.198799997568,-0.0181238949299,0.656539857388,0.222257748246,-0.0734783858061,0.0583845712245,0.159953892231,0.535085320473,-3.17786669731,-0.165795534849,0.027121424675,-0.220752507448,-0.561157882214,-0.0629711002111,1.1697255373,0.199276596308,-0.121963948011,-0.337249994278,3.28728508949,1.1719558239,1.61346817017
1452,-0.113026700914,0.282419860363,-0.140850007534,-0.045283049345,0.905549883842,0.601080596447,-0.349630475044,0.385962337255,0.356245815754,0.737058877945,-2.55253314972,-0.508363842964,0.0389628708363,-1.03117692471,-0.781795620918,-0.911582410336,0.161997705698,0.119328305125,-1.07916247845,0.572250008583,-0.40116083622,0.872455954552,0.945077240467
4776,-0.479330807924,-0.87580537796,-0.576150000095,0.382151186466,-0.188915222883,0.423754781485,-0.974031746387,-0.237846836448,-0.74876922369,-1.06252288818,-1.08926677704,0.82353156805,0.119298756123,-1.36474955082,0.267431199551,-0.707884788513,-1.26263928413,-0.71907967329,0.403107106686,2.86610007286,-0.894673466682,0.38853058219,0.407483935356
6908,-0.0946966856718,0.0147062763572,0.42405000329,0.265332460403,-0.404428333044,0.916650474072,0.892648816109,0.546238124371,0.208444342017,1.17192840576,-1.31813359261,-0.546902418137,-0.950960874557,0.407040297985,-1.03401243687,1.33525717258,-1.8932197094,0.441477507353,-1.48408579826,-0.785950064659,-0.512821316719,0.314228981733,-1.21691477299
672,0.131339490414,-0.249298095703,0.227800011635,0.077876791358,-0.829657316208,0.143805846572,0.306518226862,0.291544437408,0.917706847191,-0.152891069651,-2.68606686592,0.420070469379,-0.315738320351,0.356336295605,-0.481320500374,0.369234800339,-0.688955843449,0.345496684313,-0.0105926394463,1.74380004406,-1.36775183678,-0.12052296102,-1.88482904434
5710,0.224744319916,0.381659597158,-0.337249994278,0.418696641922,0.780036389828,0.591889202595,-0.148211568594,0.0829107016325,0.434379756451,-0.158867537975,0.168899983168,-0.0618960559368,-0.666469752789,-0.901301622391,-1.47337305546,-0.927507340908,0.998836696148,0.987793028355,-0.930120110512,-1.27119994164,1.51322126389,-1.02274513245,-2.11183691025
