rid,CPC013_A375_6H:BRD-K72192970-001-01-7:10,CPC013_A549_6H:BRD-K72192970-001-01-7:10,CPC013_A549_24H:BRD-K72192970-001-01-7:10,CPC013_ASC_24H:BRD-K72192970-001-01-7:10,CPC013_HA1E_6H:BRD-K72192970-001-01-7:10,CPC013_HCC515_6H:BRD-K72192970-001-01-7:10,CPC013_HEPG2_6H:BRD-K72192970-001-01-7:10,CPC013_HT29_6H:BRD-K72192970-001-01-7:10,CPC013_MCF7_6H:BRD-K72192970-001-01-7:10,CPC013_MCF7_24H:BRD-K72192970-001-01-7:10,CPC013_NEU_24H:BRD-K72192970-001-01-7:10,CPC013_NPC_24H:BRD-K72192970-001-01-7:10,CPC013_PC3_6H:BRD-K72192970-001-01-7:10,CPC013_PC3_24H:BRD-K72192970-001-01-7:10,CPC013_SKB_24H:BRD-K72192970-001-01-7:10,CPC013_VCAP_6H:BRD-K72192970-001-01-7:10,CPC013_VCAP_24H:BRD-K72192970-001-01-7:10
1676,0.382023870945,-0.220450013876,-0.351554334164,-0.451391160488,1.12560558319,0.508750021458,-0.611788570881,-0.627497851849,-0.439608037472,-1.11059546471,-0.034600019455,-0.0625307410955,0.514029920101,-1.00433003902,-0.505977153778,-1.46646714211,0.334956943989
23512,0.964535295963,-5.62459993362,0.42024320364,0.195369720459,0.0596653223038,0.728950023651,-0.199854850769,0.335914254189,-0.0741509869695,-1.46124982834,-0.45735001564,-0.294628024101,0.991667151451,0.0060972943902,-0.206569358706,-0.237657263875,-0.811204433441
148022,-0.727599859238,0.357899993658,-0.753569841385,0.740650355816,-0.695507407188,-0.174650013447,1.20476484299,-0.831789731979,-0.26057651639,-0.605278253555,0.177850008011,-0.40387955308,-0.270967036486,-0.206587225199,-0.540433168411,-0.820301234722,-1.22230529785
1906,0.178352609277,0.36930000782,-0.768273234367,-0.639197587967,1.24802541733,1.61055004597,-1.26681959629,-1.29128563404,0.136406630278,-0.618855535984,-0.396149992943,0.464363843203,0.0735908001661,-0.923897624016,-0.575157046318,-0.220172047615,-0.520129084587
8878,-0.0453079491854,-2.34960007668,0.420411884785,0.537065982819,-1.99865031242,-5.07765007019,2.36012768745,0.632510244846,1.50219655037,1.45987510681,0.267699986696,0.169853955507,0.391655743122,0.316329479218,-0.505037844181,0.502665698528,0.210521072149
3091,-0.0546751953661,-1.41725003719,0.291514754295,0.990027308464,-0.96821564436,0.147699996829,-0.66634106636,-0.273669034243,-0.249291151762,-1.46997797489,-0.562200009823,-0.495278894901,0.0655072182417,0.304945796728,0.734651684761,-0.304901182652,-0.0428967997432
5743,0.402479708195,-0.854449987411,-0.33084154129,0.254939556122,1.5668040514,2.61980009079,-0.638110280037,1.1374232769,0.738181710243,1.3491281271,0.472350031137,0.103771410882,0.764319360256,0.971588432789,0.886642336845,0.383894324303,0.705927312374
5321,0.50821775198,0.26605001092,0.510673999786,-0.57235789299,1.08085846901,0.257700026035,-1.27759718895,0.306522190571,0.213377028704,0.320625573397,0.000699999975041,0.339859724045,0.432035237551,-0.697291851044,-0.594553232193,0.169722765684,0.212440729141
4144,1.1947568655,0.674499988556,0.377702325583,-0.28435587883,0.523626148701,0.51314997673,0.448487073183,0.493371486664,1.00627589226,0.380776643753,-0.180700004101,0.761734008789,1.06712460518,-0.342225402594,0.054744720459,-0.0590648949146,0.338969886303
1981,0.717583656311,-0.452600002289,0.238343983889,-0.580348789692,0.103174388409,1.02620005608,-0.695702731609,0.750902056694,-0.536279797554,0.332915872335,-0.665950000286,-1.25206112862,-0.37910810113,0.844809234142,-0.230111688375,-0.323499202728,1.47904753685
695,-0.305274903774,-0.619599997997,-0.13433778286,-0.252671986818,2.25069665909,1.79970002174,-0.0264797061682,0.482243776321,-0.00879947375506,0.516096234322,-1.18739998341,0.0842550396919,-0.268900573254,-0.176836788654,-0.44463288784,-0.215508490801,0.480257034302
10398,0.185318231583,-0.00150001049042,0.0736066401005,0.191190719604,-1.40587186813,0.683600008488,0.508339881897,-0.825679779053,0.290681958199,-0.323738545179,0.184699982405,-1.16912746429,-0.665565431118,-0.382100403309,0.135585188866,-0.583474576473,-0.522383749485
5708,-0.673377156258,0.824849963188,0.714269280434,-0.335023581982,-4.4436879158,-0.559350013733,-0.451956123114,-3.01716208458,-0.507899224758,0.118733592331,-0.000300000014249,-0.0808128118515,0.00812031701207,-0.773936390877,-0.278852969408,0.658759057522,-0.144843161106
1213,0.041370138526,0.688350021839,0.539852261543,0.568035244942,-0.910355508327,-0.767250001431,-0.107886858284,-0.492711037397,-0.658759951591,0.0391345210373,0.167900010943,0.0444517359138,-1.38631701469,0.150661289692,1.12059164047,0.210245221853,0.305586397648
226,0.0479086041451,-0.273699998856,0.302159070969,0.797481715679,-1.11726796627,-2.23055005074,1.1636428833,-0.714951515198,0.0532446354628,0.0604092031717,-0.708649992943,-0.0930120423436,-0.607312440872,0.376397997141,0.786273777485,0.252098619938,0.232623532414
6777,-0.879389464855,-0.112149998546,-0.437337636948,3.62766051292,-0.540549039841,-0.80755007267,0.0675437301397,0.521745383739,-0.707067728043,0.5174228549,0.447600007057,0.160596370697,0.0740734487772,-0.44344574213,0.305809497833,-0.442596614361,-0.467046052217
2113,0.210941314697,0.678349971771,0.299035191536,-0.062775477767,0.42843079567,1.48249995708,-0.42830607295,-0.291428357363,0.676937282085,-0.786064743996,0.475099980831,-0.675777971745,-0.807507872581,-0.583460390568,-0.674209535122,-0.527622699738,-1.1257225275
3329,-0.0326834917068,-0.265700012445,0.578898012638,0.514326155186,-1.47019672394,-1.51399993896,0.934035658836,-0.755520641804,-1.05861699581,-0.052506826818,0.275299996138,0.557964205742,-0.161226734519,0.397163957357,0.889202058315,0.337659358978,-0.142026782036
1050,-0.950693011284,-0.578100025654,0.193830057979,0.753309309483,4.34105300903,0.69395005703,-0.877502739429,2.71444702148,-0.225412324071,-0.191609382629,0.441900014877,0.514255046844,0.452129453421,3.14331865311,-1.06166052818,0.00583133101463,0.247543781996
9491,-0.529295146465,1.23269999027,-0.172826424241,-0.2222687006,0.154368788004,1.88384997845,-0.912147581577,0.179247021675,-0.412017643452,0.664675951004,0.153299987316,0.1467012465,0.42056697607,0.103550359607,-0.541448235512,-0.51887524128,0.314852505922
22926,-0.194923698902,-0.0908000022173,-0.129444658756,-0.914984822273,0.0711123049259,-0.534350037575,-0.000523537397385,0.106532588601,-0.828616023064,-0.840096056461,0.195349991322,0.245591044426,-0.548658549786,-0.551604032516,-0.0396446436644,-0.806771159172,-0.21809643507
5899,-0.174786433578,-0.0231500267982,0.401824504137,-0.27408516407,-0.128591150045,-0.352899998426,0.446102648973,-0.492172032595,-1.0658352375,1.04668068886,0.13789999485,0.709300458431,-0.550947070122,0.148621678352,0.395681172609,0.132037743926,0.590439856052
5467,0.621214866638,0.0180999934673,-0.291014194489,-0.435231536627,0.558234572411,0.568700015545,-1.07487630844,-0.865430951118,0.0892037004232,-0.261193275452,-0.0863500013947,0.502661526203,-0.467163562775,-0.574001193047,-0.253384917974,-0.947226762772,-0.185192167759
6774,-0.104285933077,-0.938899993896,-0.446406304836,0.814421415329,0.576857924461,-0.513500034809,-0.338028252125,0.154023170471,-0.837131559849,0.428620934486,-0.207249999046,-0.252077549696,-0.0843406766653,-0.388973355293,0.253378897905,0.0494158938527,0.768756330013
1788,0.282949030399,0.709849953651,0.064497590065,-0.558363437653,-0.326760113239,0.880300045013,-0.05650921911,-0.539175271988,0.845616877079,0.212661251426,0.121249988675,0.122137144208,0.65225982666,-1.02635967731,-0.884647607803,-1.48495101929,0.260602384806
5921,-0.560929298401,-0.888000011444,-0.554516911507,0.228077024221,-0.101339891553,-0.601000010967,0.39811745286,0.227385744452,-0.224608317018,-0.279650658369,0.0911500155926,0.914490163326,-0.273245960474,-0.469967097044,0.617267131805,-0.200426340103,-0.496560454369
5721,-0.240441739559,-0.421799987555,0.128490209579,0.0024907104671,-0.946213841438,-1.05554997921,-0.603948295116,0.0624435767531,-0.160639807582,0.40189743042,-0.121850013733,-0.0212195217609,-1.29969155788,1.0263313055,-0.0327755361795,-0.0883561372757,0.222703576088
2263,0.87653118372,0.431649982929,-0.183635026217,-0.43151268363,1.08476114273,0.621950030327,-0.980906605721,0.59497833252,1.25911772251,0.743000268936,-1.22369992733,0.157601684332,0.81002509594,-0.347924649715,-1.18103134632,-0.136863172054,1.27941358089
808,-0.132782399654,0.00110000371933,-0.201479360461,-0.238019153476,1.05443167686,2.08979988098,-0.880084216595,-0.489261001348,0.244762137532,0.466803014278,0.258849978447,-0.222821712494,-0.142079770565,-0.0728689804673,-0.858026564121,-0.140897452831,1.28824949265
30001,-0.122029334307,-1.36525011063,-0.550149798393,2.3721613884,-0.942764997482,-0.509050011635,-0.357981622219,0.435175806284,-0.17573954165,-0.720097661018,0.488700032234,0.500759243965,-0.273135185242,-0.0298424996436,1.5118470192,-0.237079039216,-0.0626046061516
348,0.054117411375,0.661650002003,-0.426473855972,0.823391914368,1.50378108025,0.765100061893,-0.440172076225,0.411085397005,0.240196436644,0.16211155057,-0.0774999856949,-0.614249944687,0.487548530102,0.313554018736,0.21392942965,0.163530498743,0.980371594429
30849,-1.36825656891,-0.287999987602,-0.857664644718,0.349946081638,-1.87057209015,0.91789996624,0.377656251192,0.367950022221,-1.50103056431,-0.174276024103,-0.664999961853,1.10503363609,-0.0303981043398,0.8043192029,0.851103961468,0.452117562294,-0.199893444777
1454,-0.296542197466,-1.48475003242,-0.353581011295,0.588098526001,-2.05836629868,-0.520750045776,-0.63205909729,0.263544470072,0.467726439238,-0.109048306942,0.262300014496,-3.13828706741,-0.0931506603956,-0.219651222229,0.115143209696,-0.074962168932,0.139274984598
6500,-0.294402360916,-0.692049980164,-0.654950380325,0.7287068367,-0.652877509594,-0.644699990749,1.40374100208,-0.865217924118,0.0791510343552,-0.146794334054,-0.472900003195,0.25625193119,-0.12253498286,0.118311442435,1.07666409016,0.0620474517345,-1.03301024437
5627,0.534854471684,-1.25335001945,-0.451108634472,0.787676692009,-0.535657763481,-1.1644500494,-0.0850399956107,-0.125603288412,-0.567550420761,0.345279157162,0.0702000260353,0.816871881485,-0.131056562066,-0.206528231502,1.41382622719,0.432058870792,-1.05102801323
5715,0.112388409674,-4.99755001068,-0.212852343917,0.00356616638601,-1.4662668705,0.121349990368,0.775598406792,0.30049726367,-1.35866701603,-0.339047342539,0.225199997425,0.693856716156,-0.533854007721,-0.0239678621292,0.52467083931,0.709612488747,0.98310315609
4791,-0.421406567097,0.36210000515,-0.0697831809521,5.09887838364,0.980066537857,1.66655004025,0.414255917072,-0.114271402359,0.0471552759409,0.543251633644,4.34019994736,0.0231314897537,-0.0460932031274,-1.14977693558,-0.785593032837,-0.277209162712,-0.197709277272
56924,0.279963731766,-1.36245000362,-0.182647868991,0.377583682537,-0.302004516125,-0.504500031471,0.240462809801,0.656665027142,-0.058887116611,-0.27312374115,0.794900000095,0.174599811435,-0.244263917208,0.288151353598,-0.452309966087,0.382033109665,-1.51890587807
2690,-0.279175430536,-1.53509998322,0.303576529026,0.0355820655823,0.380328655243,0.636250019073,2.00900936127,0.414152532816,0.154146075249,-0.640226840973,1.05474996567,-0.866452872753,0.0881996676326,0.81051415205,0.401322185993,0.331723570824,-0.656573832035
