rid,DOS027_VCAP_6H:BRD-K15460493-001-01-6:5.03,DOS027_VCAP_24H:BRD-K15460493-001-01-6:5.03,DOS051_A549_24H:BRD-K15460493-001-01-6:5.03,DOS051_HT29_24H:BRD-K15460493-001-01-6:5.03,DOS051_MCF7_24H:BRD-K15460493-001-01-6:5.03,DOS051_PC3_24H:BRD-K15460493-001-01-6:5.03
5708,-0.00369999557734,-1.38888442516,5.09689998627,0.256049990654,-0.0667999982834,0.258499979973
1213,-0.961250007153,1.00284731388,1.19094991684,-0.190250009298,-0.0646499991417,-0.886449992657
226,0.456700026989,0.4187900424,-0.0699499994516,-0.0576499998569,0.66629999876,0.0845500081778
6777,0.850749969482,1.58366966248,-0.337949991226,0.0259499847889,-1.20945000648,0.134349986911
2113,0.10340000689,0.62863355875,0.0120500326157,0.406300008297,0.457450002432,0.417850017548
3329,-0.591600000858,0.369099915028,-1.16610002518,0.118249997497,0.100849986076,-0.101950019598
1050,-0.597350001335,-0.161588221788,0.352899998426,-0.617499947548,-0.907349944115,-0.321550011635
9491,0.44344997406,2.66888189316,0.250149995089,0.229799985886,-0.10965000093,-2.1140499115
22926,0.970950007439,-0.74935144186,-0.494800001383,-0.682349979877,0.612949967384,-1.226749897
5899,0.56225001812,-0.740784823895,-0.371399998665,-1.19865000248,-0.428000003099,-1.68019998074
5467,0.0161499977112,-0.322964221239,0.53694999218,0.0420999974012,-0.127900004387,-0.540549993515
6774,-0.892400026321,-0.3754529953,-0.358649998903,-0.220750004053,0.29675000906,-1.02670001984
1788,1.00794994831,-0.0999187082052,-1.27874994278,0.581200003624,0.737800002098,-0.878200054169
5921,-0.00995000451803,1.08028662205,0.166950002313,0.851350009441,0.27325001359,-0.143649995327
5721,-0.666849970818,-0.797665655613,0.888650000095,0.310000002384,-1.06455004215,0.297049999237
2263,1.41519999504,-0.68512481451,0.165699988604,-0.0370000302792,-0.0586500167847,0.302749991417
808,1.84864997864,-0.697450399399,0.378899991512,-0.245749995112,-0.0551000088453,0.591000020504
30001,-1.10485005379,1.43692457676,0.630849957466,-0.354200005531,-0.234799996018,0.110250011086
348,1.74284994602,-1.50606048107,0.839599967003,0.205249994993,2.04120016098,-0.170750007033
30849,0.432749986649,-0.0438439063728,-0.194849997759,-0.240549981594,-0.280349969864,0.472000032663
1454,0.63664996624,0.852959156036,0.577650010586,-1.37349998951,0.179899990559,-0.980250000954
6500,0.0220999997109,0.667182326317,-0.859750032425,0.709150016308,-0.281650006771,-0.417499989271
5627,-1.02219998837,0.412548184395,-0.932099997997,0.143500000238,0.0857999920845,0.542099952698
5715,-1.85634994507,0.789056539536,2.57550001144,1.20415008068,-0.410499989986,-1.6304500103
4791,0.567600011826,-0.450773447752,0.337899982929,-0.638049960136,1.04364991188,-0.19715000689
56924,-0.402449995279,0.878658235073,-0.0556499995291,-1.01454997063,-0.367199987173,-0.724099993706
2690,-0.822999954224,0.498910278082,-0.46439999342,-0.0921499952674,0.914750039577,-0.51700001955
1019,-0.0833500027657,-2.01649975777,-0.266499996185,0.332249999046,-1.02555000782,1.57889997959
51422,-0.479550004005,0.894453585148,-0.337399989367,0.227950036526,-0.288849979639,-0.459349989891
5788,-0.163400009274,0.541496515274,-0.878350019455,0.986499965191,0.272450000048,-0.248399972916
6709,-0.0370499938726,0.923823177814,-0.407550007105,-0.420800030231,-0.361699998379,0.365950018167
1277,-0.381200015545,-0.356806367636,-1.0585000515,1.50334990025,2.1617500782,-1.00919997692
993,-0.611800014973,-0.109390988946,0.415250003338,0.300200015306,-0.295300006866,0.0764499977231
