rid,CPC010_A375_6H:BRD-A74608937-014-04-1:10,CPC010_A549_6H:BRD-A74608937-014-04-1:10,CPC010_A549_24H:BRD-A74608937-014-04-1:10,CPC010_HA1E_6H:BRD-A74608937-014-04-1:10,CPC010_HCC515_6H:BRD-A74608937-014-04-1:10,CPC010_HEPG2_6H:BRD-A74608937-014-04-1:10,CPC010_HT29_6H:BRD-A74608937-014-04-1:10,CPC010_MCF7_6H:BRD-A74608937-014-04-1:10,CPC010_MCF7_24H:BRD-A74608937-014-04-1:10,CPC010_PC3_6H:BRD-A74608937-014-04-1:10,CPC010_PC3_24H:BRD-A74608937-014-04-1:10,CPC010_VCAP_6H:BRD-A74608937-014-04-1:10,CPC010_VCAP_24H:BRD-A74608937-014-04-1:10
30849,-0.598183572292,-5.9389500618,0.356200009584,-1.00125396252,0.28578799963,0.26967677474,0.0946378707886,-0.883178174496,0.403347551823,0.3796877563,-1.26112723351,0.569495975971,0.772975623608
1454,0.0868700072169,-0.333799988031,-0.321699976921,0.185120090842,0.0769475102425,0.294756412506,0.748868525028,0.0069068595767,0.355868548155,0.18246614933,0.333008885384,1.47493517399,1.36492943764
6500,-0.173593327403,0.566349983215,2.88705015182,-0.78508579731,0.453329354525,0.520871758461,0.647258162498,0.412659198046,0.247610032558,0.194100573659,-0.40290594101,0.544626712799,-0.247136816382
5627,1.41628813744,-2.08955001831,-0.214949995279,0.193523719907,-0.197959780693,0.447180718184,0.302153766155,-0.151102885604,0.181987658143,0.934900760651,-1.53777897358,-0.160851255059,0.0316873639822
5715,-0.487627923489,-0.1494499892,0.131349995732,-0.105177253485,-0.434646725655,0.697868466377,-0.817321538925,0.356515556574,0.69937068224,1.15928447247,-0.680432200432,0.335628330708,0.155560016632
4791,0.290030419827,3.58244991302,-0.283499985933,1.59072446823,1.89881885052,0.513538718224,-0.352360785007,-0.15645134449,0.201244056225,0.494100272655,0.117348663509,-0.107667773962,-0.135909020901
56924,0.430338323116,-0.537299990654,-0.021150007844,-1.40904116631,-0.301263660192,-1.01181006432,0.22560235858,1.89543175697,0.398938715458,-0.455582112074,-0.76967394352,-0.190710633993,-0.0696941763163
2690,-0.139240711927,-0.181050002575,0.307500034571,0.0255229398608,-0.0855822563171,-0.16228787601,-0.017562687397,-0.590987682343,0.149026244879,0.112365067005,0.406870126724,-0.448492884636,-0.311598002911
1019,-0.274162471294,-0.925799965858,0.737500011921,0.274882525206,0.162190973759,0.179065093398,0.0612088441849,-0.362800627947,0.625770866871,0.53726619482,-0.400626569986,0.441771626472,0.585685491562
51422,0.377457380295,-1.88350009918,-0.538600027561,-0.952240824699,-0.818467795849,1.29342448711,-0.579980969429,-0.533654689789,-0.706339776516,0.161943852901,-0.0260397046804,-0.555557310581,-0.0717865154147
5788,-0.230435699224,-0.0764999985695,0.152900010347,0.641086399555,-0.31252810359,0.348452687263,-0.128656253219,0.547436058521,-0.190646350384,-0.23932428658,0.979088783264,-0.663998484612,-0.547444820404
6709,-0.742565095425,-1.20869994164,-0.0187499821186,0.0792213827372,-0.832612335682,0.20757971704,-0.0910073518753,1.01614463329,0.58409178257,-0.239369630814,-0.19004625082,0.384555071592,0.774314045906
1277,0.41977456212,-1.36430001259,-0.228299975395,-0.203990340233,-0.0506098121405,-0.410014688969,-0.0173955410719,-0.393261671066,0.15467004478,0.383364707232,-0.454925149679,0.137020081282,0.420941114426
993,0.641847491264,0.874150037766,0.579450011253,-0.372376054525,-0.340771913528,0.477342426777,0.550007820129,0.561205983162,0.981280982494,-0.568987250328,-0.172170251608,0.735198616982,0.964430510998
