rid,CPC020_A375_6H:BRD-K66766661-001-15-0:10,CPC020_A549_6H:BRD-K66766661-001-15-0:10,CPC020_HA1E_6H:BRD-K66766661-001-15-0:10,CPC020_HCC515_6H:BRD-K66766661-001-15-0:10,CPC020_HT29_6H:BRD-K66766661-001-15-0:10,CPC020_MCF7_6H:BRD-K66766661-001-15-0:10,CPC020_MCF7_24H:BRD-K66766661-001-15-0:10,CPC020_PC3_6H:BRD-K66766661-001-15-0:10,CPC020_PC3_24H:BRD-K66766661-001-15-0:10,CPC020_VCAP_6H:BRD-K66766661-001-15-0:10,CPC020_VCAP_24H:BRD-K66766661-001-15-0:10
3091,0.67322653532,-0.136022210121,-0.641282200813,-0.923799991608,-0.0601206347346,-0.362094551325,0.451752513647,-0.736525475979,0.458945244551,-0.191148072481,0.0256257615983
5743,-4.02589988708,0.240322694182,-0.964510202408,0.438049972057,0.144286245108,0.764594018459,0.0447957292199,1.5232180357,0.150508195162,-0.639498054981,0.0875393599272
5321,-0.0568222329021,-0.619820833206,0.180638685822,-0.0883250236511,-0.598326921463,-0.62263917923,-0.758510708809,-0.968971252441,-0.748784899712,-0.438713133335,-0.258467614651
4144,0.109781436622,-0.501198410988,-0.0824687033892,0.625,0.197282239795,0.366800308228,0.194422021508,-0.760673284531,-0.683601140976,-0.0811475664377,-0.577722370625
1981,-1.55332112312,-0.863432526588,0.547636270523,1.3818500042,-0.0354939699173,0.76086217165,-0.184908360243,0.994216144085,-0.424384623766,-0.0105317085981,-0.219503104687
695,0.33746021986,-0.372367978096,0.823567986488,0.455399990082,-0.505214512348,0.194810062647,1.42001914978,0.00885817408562,0.0176460780203,1.14215219021,-0.159366697073
10398,2.07695293427,-0.601109266281,0.187037244439,0.0642499923706,-0.394073545933,-0.354820281267,-0.598492741585,-0.172077819705,0.121481001377,-0.085791900754,-0.560307025909
5708,-2.03016734123,0.167919993401,-0.265157729387,-0.881449997425,0.00848270952702,0.934204399586,-0.929368138313,-0.194880872965,-0.133371323347,-1.96062600613,0.0371711961925
1213,0.305515289307,0.339634507895,-2.06992983818,-0.046399988234,0.721909463406,0.510362803936,0.247163921595,1.05940806866,0.134590387344,0.507440805435,0.710582733154
226,-0.67137157917,0.746436953545,-0.71324300766,-0.342674970627,0.632860422134,0.368381738663,-0.110330954194,0.938800573349,-0.0809946581721,0.0764735117555,0.208958163857
6777,4.45104408264,-0.995900511742,1.03758478165,-0.130499988794,-0.383387327194,1.01527917385,0.977487325668,-0.202627852559,-0.46030625701,0.790907561779,1.05970871449
2113,-0.266393780708,0.817987978458,-0.604808390141,0.647974967957,-0.570340394974,-0.46155834198,-0.396484434605,0.071390748024,-0.473295152187,0.0896640717983,-0.533977866173
3329,0.59027159214,0.709283292294,-0.625140190125,0.0996749997139,0.472654819489,0.587141335011,0.315282762051,0.814189732075,-0.971172809601,0.135301113129,-1.06362831593
1050,1.07295930386,0.264213085175,0.14152777195,-0.168624997139,1.22326552868,0.321129381657,0.416938841343,0.560092031956,-0.439186871052,-1.17050719261,-0.0205382294953
9491,-0.621280014515,-0.319316625595,0.542178750038,-0.629649996758,-0.396009504795,-0.629675149918,-0.63255995512,-0.473831415176,0.132091134787,-0.741553544998,0.0956186056137
22926,1.06120419502,0.306928694248,-1.06040489674,0.258850038052,-1.5337460041,0.944435238838,0.336228102446,0.822129189968,-0.44810333848,1.05637061596,0.306322157383
5899,-0.121968328953,-0.0669937208295,-0.0680449232459,0.317199975252,-0.610050261021,-0.0887700617313,-0.19082030654,0.484229177237,-0.116719327867,-0.508975565434,0.604614377022
5467,0.325533866882,-0.338684439659,0.52587223053,0.165550008416,-0.419072151184,-0.299277037382,-0.130834147334,0.202034637332,-0.395536869764,-0.600408554077,-0.530636906624
6774,-0.26079171896,0.57370865345,-0.187145873904,0.331950008869,0.838472723961,0.740646958351,0.645863950253,2.03205323219,1.17613685131,0.531421899796,0.378312528133
1788,-0.687212705612,0.0662896186113,0.454438835382,-0.431374967098,-0.848248839378,-0.791600227356,-0.359698712826,-1.07247936726,-0.375775516033,-0.46955883503,-0.315460205078
5921,-0.141623482108,0.421971261501,0.441429942846,-0.107349991798,0.381915360689,0.142983183265,0.275804460049,0.603914737701,-0.247479110956,0.175852864981,2.14215826988
5721,0.383070319891,-0.211880788207,-0.199220761657,-0.496474981308,0.202887281775,-0.2185998559,0.61033064127,-0.0594728291035,-0.831314146519,-0.579765439034,0.0388752818108
2263,-0.598969221115,-0.450062692165,-0.00576986745,-0.244775012136,-0.59717810154,-0.217539355159,-0.479314655066,-0.852533817291,-0.305502265692,0.0179349463433,-0.248822465539
808,-1.02807998657,-0.585018277168,0.505279302597,-0.0443250015378,-0.582543730736,-0.55601131916,-0.352520704269,-0.457935631275,0.285280376673,-0.676918983459,-0.0635408833623
30001,-0.266200304031,0.636132895947,-0.256070882082,-0.318224936724,0.156326383352,1.12634170055,0.0707110613585,0.22525806725,-0.303232997656,0.366552621126,0.954826712608
348,-0.350199609995,-0.344335734844,0.410235911608,-0.125100016594,-0.367470502853,1.51231968403,-0.271175831556,-0.726527512074,-0.107991114259,-0.0523314960301,-0.4798361063
30849,-0.720207870007,-0.0511836409569,-0.880853176117,-0.142025008798,0.598877370358,0.794168710709,0.0416743755341,0.235028266907,0.316060870886,0.568182349205,-0.453630030155
1454,-4.30942583084,0.719903230667,-0.0765227526426,0.144425034523,-0.0613077580929,0.296931475401,0.393488645554,-0.00874573737383,0.0969239398837,-0.879119098186,-0.185681864619
6500,-0.00440280139446,0.342496782541,-0.963942110538,-0.404550015926,0.190585166216,0.474467515945,0.486219912767,0.407437413931,0.570809662342,-0.510302662849,0.789532899857
5627,1.01926660538,0.417070806026,-0.926264822483,-0.190149992704,-0.0470230802894,-0.475782692432,0.267030060291,0.257416725159,-0.193378448486,-0.0818825960159,0.966732978821
5715,-0.401760160923,-0.136113852262,-0.589244306087,0.00394999980927,0.249044984579,0.397305816412,0.295289158821,0.719780147076,-0.119045764208,0.310945779085,0.192957088351
4791,0.0799486115575,0.389301270247,1.1211694479,0.109700001776,-0.677478373051,0.912967443466,-0.554768979549,-0.227882534266,-0.348745316267,-0.419509232044,0.0179089531302
56924,1.48363506794,-0.00454817712307,-0.308962225914,0.141274988651,0.247790515423,0.145079255104,-0.354926288128,0.442808896303,-0.882262468338,-0.135407924652,0.261899739504
2690,-0.603893637657,1.36216843128,0.242277696729,0.02735003829,-0.261629194021,-0.633147478104,-0.394139230251,0.267450064421,0.653713643551,-0.409088939428,0.0934764519334
