rid,CPD002_MCF7_24H:BRD-A80567352-003-01-6:10,CPD002_MCF7_6H:BRD-A80567352-003-01-6:10,CPD002_PC3_6H:BRD-A80567352-003-01-6:10,CPD002_PC3_24H:BRD-A80567352-003-01-6:10
8061,-1.35616588593,-0.15608561039,0.0659551620483,0.734659790993
1870,-0.592634081841,-0.468154966831,-1.34404361248,0.133065968752
1398,0.650063157082,-0.51727771759,-1.02970290184,-0.207323998213
3312,1.09898626804,0.272086799145,0.463201224804,0.164385408163
891,1.42682552338,1.03604841232,1.56000471115,1.1113858223
4775,-0.26124227047,-0.697099685669,5.10227823257,0.408928573132
5111,1.3050198555,-3.43751788139,-0.823312997818,0.102223806083
5696,-0.207554519176,-0.280213356018,-1.01953315735,-1.21101927757
5588,0.108662724495,0.356700927019,0.39586353302,4.06469583511
6839,1.08927023411,0.426309913397,-1.83395171165,-0.10986636579
329,-0.618990600109,-1.03033423424,0.716990530491,0.550707519054
5058,-0.112133055925,-0.156746283174,0.566329717636,-0.222414106131
998,0.853875398636,0.71646463871,0.709028363228,1.0443559885
9134,0.752591490746,-1.53874790668,-0.314509004354,0.293694645166
6616,0.60381770134,0.472998082638,2.75444960594,0.863871574402
5223,-0.375782161951,0.791989445686,-0.403480410576,-0.174057424068
4690,1.4838886261,0.610070705414,2.50516915321,-0.154927149415
958,0.0511635765433,0.356528401375,1.66157984734,1.04389429092
1616,-0.432059466839,0.424149751663,1.13404393196,4.18950796127
991,-1.0645159483,0.279329806566,-0.26921081543,-0.756506919861
6347,0.379240632057,0.355894625187,1.00733852386,1.35063648224
6714,0.840903699398,1.2631316185,2.20225000381,-1.19922339916
652,-0.0108210667968,0.101171672344,0.730662226677,0.948594212532
4331,0.0553045123816,-1.34066855907,-0.157859802246,-1.40408325195
7099,0.30096578598,-0.181868135929,-0.328324437141,3.3813457489
10320,1.26160538197,0.323244899511,0.282904118299,0.136954262853
2042,7.20702981949,-0.00915956497192,0.684201717377,1.4575817585
843,-0.185255050659,0.29888010025,1.45859932899,1.20883512497
840,1.44624257088,2.99849319458,-0.373835384846,-0.888967692852
7048,0.549431025982,-0.117585361004,0.24885725975,-0.226018697023
4851,1.238956213,-0.777559041977,0.904730439186,-0.14674577117
6464,0.388170927763,1.09392309189,1.47137272358,2.47463035583
23410,0.901943683624,-0.521522283554,1.39639830589,-0.0443303585052
54205,-2.26761674881,-0.971018671989,-1.47861158848,0.0922892391682
2770,-0.569070279598,2.24765229225,0.359200596809,0.99341326952
80204,-1.26652109623,-0.638573110104,-0.826862037182,-0.828624725342
4208,0.420159101486,-0.115791022778,0.649929940701,1.59772920609
1845,-0.702869296074,-3.82582736015,-0.179221779108,-0.86846768856
23368,0.0791876763105,-4.27310752869,1.32340157032,0.945115685463
5583,0.264362424612,0.450745910406,-0.0514679849148,0.396689713001
8900,-0.833753168583,-1.72930276394,-0.283761739731,0.163318157196
581,-0.845489084721,-0.368608474731,0.619024217129,0.208136022091
6193,-0.195360660553,-0.355567485094,-0.189126819372,-0.886988043785
6622,-0.0928376317024,-1.52636408806,-1.00482153893,0.0843342542648
11261,0.468006908894,-0.561890482903,0.253457009792,-0.50402200222
6696,1.29860520363,0.193413287401,0.25667732954,0.195755392313
8312,-1.15507102013,1.16957461834,0.882328808308,0.183987736702
835,0.410593271255,-1.44686603546,0.0556587278843,2.41898322105
8324,-0.225150346756,0.775552272797,-1.65932178497,0.0268093347549
1848,-0.426217973232,-0.021136701107,-0.347589671612,0.0367137230933
