rid,DOS030_VCAP_6H:BRD-K12189280-001-01-1:4.93,DOS030_VCAP_24H:BRD-K12189280-001-01-1:4.93,DOS034_A375_24H:BRD-K12189280-001-01-1:4.93,DOS034_A549_24H:BRD-K12189280-001-01-1:4.93,DOS034_HT29_24H:BRD-K12189280-001-01-1:4.93,DOS034_MCF7_24H:BRD-K12189280-001-01-1:4.93,DOS034_PC3_24H:BRD-K12189280-001-01-1:4.93
6908,1.35600030422,0.815153837204,1.05727314949,-0.687592625618,-1.23389995098,0.369481980801,0.121270000935
672,-0.432066380978,0.363864719868,0.354717135429,0.0748870223761,-0.583249986172,-0.0593629553914,0.643085300922
5710,1.40222489834,-0.643279254436,-0.890731215477,-1.17928290367,-1.2540500164,-0.727360248566,-1.09485089779
2115,-0.540166020393,2.1205368042,1.16950023174,-0.0967068970203,-0.0838999971747,-0.553718924522,0.806773662567
7015,-0.86387014389,1.6056265831,0.0709712058306,-0.213212624192,2.09459996223,1.2155777216,1.68294668198
8726,1.65401220322,0.0457239151001,0.415701687336,-0.173122465611,-0.422199994326,1.4059612751,0.184679746628
2185,-0.805164575577,0.285811275244,0.109742641449,-0.226358652115,1.45465004444,2.10520291328,0.35632827878
3315,1.3928501606,-0.659511685371,0.427255541086,-0.331843137741,-1.75290000439,0.359453767538,-0.423326969147
5289,0.0834830850363,0.416310727596,0.770738720894,0.41057497263,0.466899991035,1.82361149788,0.00228666514158
868,0.433551490307,0.419903725386,-0.110980331898,-0.422592699528,1.18320000172,-0.0876963287592,0.32683172822
1677,-0.61151856184,0.996893048286,0.60046595335,-0.031030908227,1.56824994087,0.346852183342,1.87227630615
7043,-1.30019497871,-1.15143561363,-0.536794960499,-0.0173888429999,0.0385499969125,-0.884487628937,0.181184008718
5613,-0.818525314331,-0.258466184139,-0.604334115982,0.334162324667,0.717550039291,0.0328061766922,-0.419839262962
595,1.43863856792,-0.66521859169,-0.260012686253,-0.492790311575,0.232500016689,-0.724252939224,-0.0276857018471
4793,0.336796045303,-0.376504302025,0.410468041897,-0.349223732948,-0.81819999218,-0.142615064979,-0.0472344458103
2736,-0.285566270351,-1.15438055992,-0.552027702332,-0.583130478859,1.7811999321,0.165782704949,1.27734971046
5290,-1.57742989063,0.956987977028,-0.121408753097,0.241824522614,1.56589996815,1.72319054604,0.963460147381
6194,-0.920450389385,-0.390720963478,0.124253444374,-0.214326322079,-0.642799973488,-0.243898302317,-0.173798337579
1676,-1.07241761684,-0.234173953533,-0.0855316072702,0.488681644201,0.984099984169,1.02212035656,0.0981031656265
23512,1.16051483154,0.688933312893,-0.980020880699,0.759538412094,-0.787549972534,-0.851888358593,-0.345770299435
148022,0.0459946654737,-0.749546289444,-0.241488844156,0.297810822725,0.443500012159,0.684032857418,0.365674823523
1906,-1.90117454529,-0.775236129761,0.674711227417,0.883992314339,0.420249998569,-0.893010556698,-0.43890529871
8878,1.38299036026,-0.033286228776,1.37851035595,-0.109940469265,-0.0808999985456,0.0096048489213,0.172972410917
3091,-0.482548743486,1.19073438644,-0.0952007845044,0.839656114578,-0.00785000622272,0.506150245667,-0.732847809792
5743,-0.0732016265392,-0.820451617241,-0.743042945862,-2.25818252563,0.666900038719,2.24257993698,0.0184010863304
5321,-1.77787947655,-0.782705843449,0.277195811272,-0.552695274353,-0.243099987507,0.0893011391163,-0.385982692242
