rid,CPD001_MCF7_6H:BRD-K10671814-001-11-4:10,CPD001_MCF7_24H:BRD-K10671814-001-11-4:10,CPD001_PC3_24H:BRD-K10671814-001-11-4:10,BRAF001_A375_24H:BRD-K10671814-001-11-4:10,BRAF001_A375_24H:BRD-K10671814-001-11-4:2.5,BRAF001_A375_24H:BRD-K10671814-001-11-4:0.625,BRAF001_A375_24H:BRD-K10671814-001-11-4:0.15625,BRAF001_A375_6H:BRD-K10671814-001-11-4:10,BRAF001_A375_6H:BRD-K10671814-001-11-4:2.5,BRAF001_A375_6H:BRD-K10671814-001-11-4:0.625,BRAF001_A375_6H:BRD-K10671814-001-11-4:0.15625,BRAF001_HEK293T_24H:BRD-K10671814-001-11-4:10,BRAF001_HEK293T_24H:BRD-K10671814-001-11-4:2.5,BRAF001_HEK293T_24H:BRD-K10671814-001-11-4:0.625,BRAF001_HEK293T_24H:BRD-K10671814-001-11-4:0.15625,BRAF001_HEK293T_6H:BRD-K10671814-001-11-4:10,BRAF001_HEK293T_6H:BRD-K10671814-001-11-4:2.5,BRAF001_HEK293T_6H:BRD-K10671814-001-11-4:0.625,BRAF001_HEK293T_6H:BRD-K10671814-001-11-4:0.15625
5054,-0.389128804207,-0.396442532539,-0.24837179482,1.03839492798,0.68478000164,0.214899361134,0.125774383545,-0.149957612157,0.564087808132,-0.0309778079391,-0.21914871037,0.360950618982,0.364815801382,1.11937475204,0.884948015213,0.556169688702,1.64569687843,0.0221093595028,-0.0986468121409
3108,0.40924140811,-0.329602062702,1.20646226406,0.934788525105,1.28717505932,-0.289257973433,0.368141442537,-0.061204738915,1.44963383675,-0.681258440018,-0.15849237144,1.30980050564,-0.601618945599,0.567219853401,-0.0997629910707,0.0179204531014,0.170954972506,-0.0199984014034,-0.297045439482
1950,0.0551421940327,0.509374797344,0.716712415218,-0.39242464304,-0.216845810413,-0.225657299161,-0.229988366365,-0.106796644628,-0.0572365745902,0.167257159948,0.365043401718,-0.0169248655438,-0.539404690266,0.494980931282,0.314356118441,0.724768519402,-0.13389736414,0.355952441692,0.014196485281
351,0.217510461807,-0.981497704983,0.0587479174137,0.106255821884,-0.0716020092368,0.0745940282941,-0.399386048317,-0.486761778593,0.160384908319,1.29391312599,0.209473803639,0.784270763397,-0.219231411815,0.522510349751,0.239321470261,-0.258624076843,-0.38713273406,0.218592822552,-0.19986012578
4846,0.564906060696,2.10227060318,-0.24751740694,-0.939302444458,-0.581523656845,-0.752610087395,-0.734751999378,0.0356912389398,-0.728265345097,0.422350764275,-0.378338932991,0.237594395876,-0.408546179533,0.381993830204,0.19871532917,-0.178400635719,0.158805966377,-0.330427050591,0.324168473482
1452,-0.490118980408,0.252565145493,0.107481628656,0.423104017973,0.862338602543,-0.0334329381585,-0.0651221722364,-0.480841785669,1.02108764648,-0.504503726959,-0.132638663054,0.0484745055437,0.676276564598,-0.883248209953,-0.396729618311,0.380988448858,0.625998735428,-0.742846369743,0.184476584196
4776,-1.34913265705,-0.674528062344,-0.463223606348,-0.67863202095,-0.380985617638,-0.36289024353,-0.488755166531,0.113201029599,-0.089448004961,0.0263213776052,-0.0298770666122,-1.03393661976,-0.176183760166,-0.409139275551,-0.066049516201,-1.55598008633,-0.0306784510612,-0.0214386917651,0.0615656413138
6908,-0.331140607595,-0.23197004199,1.20855426788,0.109968654811,0.00470900535583,0.501445710659,0.490205019712,0.388494133949,-0.936673223972,0.0940975248814,0.508249521255,-1.15101563931,-0.43364495039,-0.411503016949,0.133549124002,-0.742006659508,-0.855552077293,2.74126291275,0.0741356983781
672,-0.284116566181,0.302357524633,0.505228936672,-0.537951767445,1.42957127094,0.47997200489,0.517603993416,-0.496615916491,-0.969317734241,0.0844710320234,0.345359176397,-1.02664220333,-0.404361963272,0.270644783974,0.355291843414,-2.14081811905,0.063095100224,-0.326163083315,0.285153478384
5710,-0.680718898773,-0.686347424984,-0.901509702206,0.184148386121,0.41822296381,0.12482008338,0.570286870003,-0.0562474653125,-0.212738513947,-1.29312062263,-0.431080967188,-0.824898958206,0.214942038059,-1.11133134365,-0.525516927242,-0.131303787231,0.283802568913,-0.754555404186,-0.0871933475137
