rid,CPC012_A375_6H:BRD-A55565369-001-01-6:10,CPC012_A549_6H:BRD-A55565369-001-01-6:10,CPC012_A549_24H:BRD-A55565369-001-01-6:10,CPC012_ASC_24H:BRD-A55565369-001-01-6:10,CPC012_HA1E_6H:BRD-A55565369-001-01-6:10,CPC012_HCC515_6H:BRD-A55565369-001-01-6:10,CPC012_HT29_6H:BRD-A55565369-001-01-6:10,CPC012_MCF7_6H:BRD-A55565369-001-01-6:10,CPC012_MCF7_24H:BRD-A55565369-001-01-6:10,CPC012_NEU_24H:BRD-A55565369-001-01-6:10,CPC012_NPC_24H:BRD-A55565369-001-01-6:10,CPC012_PC3_6H:BRD-A55565369-001-01-6:10,CPC012_PC3_24H:BRD-A55565369-001-01-6:10,CPC012_PHH_24H:BRD-A55565369-001-01-6:10,CPC012_SKB_24H:BRD-A55565369-001-01-6:10,CPC012_VCAP_6H:BRD-A55565369-001-01-6:10,CPC012_VCAP_24H:BRD-A55565369-001-01-6:10
1677,0.664235770702,0.484261453152,-0.988649964333,0.973327279091,0.272198617458,-0.161759763956,-0.899759709835,-0.0877576693892,1.49148917198,-0.127599999309,1.05945658684,0.24363771081,0.12535430491,-0.25898167491,0.335269063711,0.396357774734,-0.113133981824
7043,0.833094596863,0.814825534821,-1.14954996109,0.24252730608,-0.523617208004,-0.974018931389,-3.79023432732,-0.578890025616,1.12694895267,1.91229999065,-0.137827068567,1.32692468166,0.100625991821,-0.228882998228,-0.123267248273,-1.17152905464,-0.255177646875
5613,0.387969434261,0.862245261669,-0.592350006104,0.228277668357,0.884488940239,-0.392378270626,-3.87092852592,-0.399733096361,1.25715184212,2.88619995117,-0.479281753302,0.125824809074,0.184449121356,-1.17567849159,0.092329531908,0.173572152853,-0.200500100851
595,0.239662051201,-0.177054584026,1.6142500639,0.0566317588091,-0.386802136898,0.405322521925,-0.804558932781,-0.618480324745,-0.530617833138,2.83780002594,-0.69595938921,-0.0261295586824,0.564053535461,0.985476434231,0.570371329784,0.446153640747,0.330224275589
4793,0.225124210119,-0.32444742322,1.12545001507,0.995363473892,0.20458060503,-0.306494742632,0.198077932,-0.292524784803,0.669973492622,-0.365700006485,0.424253433943,0.10017876327,0.156313180923,3.17462491989,0.870163679123,-0.468298077583,-1.32700717449
2736,0.0524241179228,-0.43573319912,-0.428949981928,-0.035808801651,0.476316601038,-0.243253827095,0.0139244347811,-0.40321624279,0.805460572243,0.034200001508,-0.00270811468363,0.108196228743,-0.195869579911,-0.566487312317,0.176791131496,-0.477955460548,-0.295619189739
5290,0.548728823662,0.782991528511,-0.78820002079,-0.0676764249802,0.766639888287,-0.145543679595,0.174325376749,0.134046018124,1.21151578426,-1.81780004501,-0.470642864704,-0.155520558357,-0.553995847702,-1.39069664478,0.273540079594,0.0516044795513,-0.0826015993953
6194,-0.000193709187442,0.000264713773504,-0.229249998927,-0.0172143206,-0.00797243975103,-0.477883219719,-0.309207201004,0.103092491627,0.0910547152162,0.00340000004508,-0.760280609131,-0.241204500198,0.52341324091,0.000407069630455,0.0,-0.0407471433282,-0.000342790473951
1676,-0.31160825491,1.1982858181,-0.29105001688,0.156902775168,0.105990074575,-0.62126147747,-0.0713433995843,-0.666864395142,0.974528253078,0.776300013065,-0.486140906811,0.668577969074,0.426682889462,-1.0590955019,-0.332474082708,-0.920175671577,-0.497031390667
23512,0.0448618531227,-0.601082384586,0.759149968624,0.729094564915,-1.39705944061,-0.439722806215,0.101556167006,-1.22576141357,0.908922851086,1.43669998646,0.00600516796112,-0.629697203636,1.019957304,0.317711293697,0.13712862134,0.226567447186,0.811680018902
148022,-0.0607965439558,-0.976290822029,-0.954199969769,0.0089915394783,-0.989629030228,0.471583217382,-0.100871562958,0.305651754141,0.514772951603,0.368200004101,0.68375658989,-0.174777373672,-0.447685658932,0.246267005801,0.303095579147,0.141745895147,0.947916150093
1906,1.15477776527,-0.624331593513,-0.64485001564,0.577011823654,0.721418559551,-0.578003048897,-0.291636168957,-0.316853970289,0.876804292202,-0.289299994707,0.0935921519995,0.175013720989,-0.725151121616,-0.176862359047,-0.467221438885,-0.172362953424,-0.285310149193
8878,-0.223738476634,-2.3666446209,-0.757849991322,-0.427444279194,-3.86614370346,0.613940358162,-0.844907522202,-0.446430116892,-1.32082307339,2.00460004807,0.237430498004,-0.562639474869,0.111449629068,0.00205160444602,-0.341415166855,0.212040409446,0.336232125759
3091,-0.567802131176,-0.0982774496078,-0.158950001001,-0.726051092148,0.203621953726,0.0684897601604,0.0903198197484,-1.57407474518,-0.794861078262,1.05359995365,-0.1576218009,-1.5791079998,-0.361720353365,-0.144419401884,-0.486457675695,0.172513961792,-0.36571893096
5743,0.0562018789351,-0.351447343826,5.39300012589,0.135115891695,0.681152820587,0.218384429812,0.745875477791,2.14704751968,1.76015889645,-0.22349999845,0.0749269872904,-0.21303036809,2.84199285507,-0.59436416626,0.751109659672,0.164445579052,0.198451414704
5321,0.779380202293,0.697029232979,-0.650049984455,-0.026988081634,0.815698981285,0.029932141304,0.0534931570292,0.652251601219,0.686641335487,0.00200000009499,-0.517109394073,-0.313748240471,0.679734885693,-1.13289570808,-0.249207943678,-0.501246869564,-0.620000839233
4144,0.893721342087,-0.24845290184,1.04984998703,-0.281305193901,0.377486228943,-2.36392664909,0.192523449659,0.0687864497304,0.96335041523,0.675400018692,0.259569913149,-0.00129336118698,-1.01577591896,0.775235712528,0.241654649377,0.246005117893,-0.267311811447
